policy,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage1_ch4_m3,total_stage2_ch4_m3,total_total_ch4_m3,total_chemical_m3,total_chemical_kmol,total_ph_violation_pH_d,steps,final_time_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH,mean_stage1_acid_yield,mean_stage2_vfa_conversion,mean_stage2_ch4_per_vfa_in,fixed_action,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,stage1_pH_sp,stage2_pH_sp
dqn_deterministic,-162.69992173218532,-16269.99217321853,11560.680445515352,1609.5525000000002,26221.12011873388,1146.1281980307613,941.7842525702897,10947.724993762873,612.9554517524783,11560.680445515352,703.25,8047.7625,52.44224023746776,168,7.0,7.906017636260029,-0.17224328777976156,7.76133787426633,0.5596949616282372,0.0327582792314688,0.8156864100142803,2.6838962390534005,,,,,,,,,,
best_fixed_open_loop_action,103.41700863125354,10341.700863125352,12843.413660170794,47.46000000000001,2454.2527970454403,514.0342098275339,502.65628522289285,11135.557287519985,1707.8563726508082,12843.413660170794,21.0,237.3,4.90850559409088,168,7.0,6.959506854840289,6.69570188724613,7.100791669440644,6.928429055142358,0.014691965705921703,0.9650975798942534,4.5344252505788765,16.0,16.0,-1.0,-2.0,0.0,1.0,0.0,2.0,,
zero_dosing_open_loop,93.71219639672023,9371.219639672023,12636.49152778024,0.0,3265.2718881082183,580.6593056739398,567.5319711113002,11158.726977841732,1477.7645499385078,12636.49152778024,0.0,0.0,6.530543776216437,168,7.0,7.343323272975525,7.381469318166327,7.333392133062112,7.345986660662585,0.016596223447167293,0.9634852899408719,3.8538353490705637,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fixed_pH7_PI_both_stages,103.9318245974622,10393.18245974622,12617.161425601658,33.289824450736134,2190.689141404702,499.18673733398026,488.4461794212623,11092.401070824713,1524.760354776945,12617.161425601658,14.729957020883626,166.44912225368068,4.381378282809404,168,7.0,7.012837969599623,7.002025498924601,7.025630178038945,7.004724712093223,0.014267599870877192,0.9666246751212919,4.467118615711407,,,,,,,,,7.0,7.0
