time,pH_sp,stage1_pH,stage2_pH,q_NaOH_m3_d,u_NaOH_kmol_d,q_HCl_m3_d,u_HCl_kmol_d,stage1_T_K,stage2_T_K,stage1_V_liq_m3,stage2_V_liq_m3,prbs_segment
0.0,7.0,7.078236896383718,7.261303246469217,0.0,0.0,0.0,0.0,328.15,308.15,2720.0,680.0,0.0
0.010416667,7.0,7.123250932512497,7.26498642558224,0.0,0.0,0.0,0.0,328.15,308.15,2720.0,680.0,
0.020833333,7.0,7.138446944881511,7.266097644971948,0.0,0.0,0.0,0.0,328.15,308.15,2720.0,680.0,
0.03125,7.0,7.1466356108678335,7.2670785524066535,0.0,0.0,0.0,0.0,328.15,308.15,2720.0,680.0,
0.041666667,7.0,7.151736905912948,7.268168549546197,0.0,0.0,0.0,0.0,328.15,308.15,2720.0,680.0,
0.052083333,7.0,7.155342545554986,7.269385486238972,0.0,0.0,0.0,0.0,328.15,308.15,2720.0,680.0,
0.0625,7.0,7.158194286220844,7.27071905387358,0.0,0.0,0.0,0.0,328.15,308.15,2720.0,680.0,
0.072916667,7.0,7.160661110402006,7.272153325834451,0.0,0.0,0.0,0.0,328.15,308.15,2720.0,680.0,
0.083333333,7.0,7.162920502127064,7.273671082817388,0.0,0.0,0.0,0.0,328.15,308.15,2720.0,680.0,
0.09375,7.0,7.165061910050909,7.27525666338503,0.0,0.0,0.0,0.0,328.15,308.15,2720.0,680.0,
0.104166667,7.0,7.167137012697378,7.276896567331593,0.0,0.0,0.0,0.0,328.15,308.15,2720.0,680.0,
0.114583333,7.0,7.169167758447165,7.278578413129755,0.0,0.0,0.0,0.0,328.15,308.15,2720.0,680.0,
0.125,7.0,7.1711654257087805,7.280290499439009,0.0,0.0,3.6586591740932612,41.342848667253854,328.15,308.15,2720.0,680.0,
0.135416667,7.0,7.173135289374723,7.2554241469371314,0.0,0.0,3.6586591740932612,41.342848667253854,328.15,308.15,2720.0,680.0,
0.145833333,7.0,7.175079752670164,7.234770288769426,0.0,0.0,3.6586591740932612,41.342848667253854,328.15,308.15,2720.0,680.0,
0.15625,7.0,7.176999798537457,7.2151721380806215,0.0,0.0,3.6586591740932612,41.342848667253854,328.15,308.15,2720.0,680.0,
0.166666667,7.0,7.178895734464622,7.196398969337068,0.0,0.0,3.6586591740932612,41.342848667253854,328.15,308.15,2720.0,680.0,
0.177083333,7.0,7.180767559767186,7.178365235838248,0.0,0.0,3.6586591740932612,41.342848667253854,328.15,308.15,2720.0,680.0,
0.1875,7.0,7.182615146655794,7.161007878344671,0.0,0.0,3.6586591740932612,41.342848667253854,328.15,308.15,2720.0,680.0,
0.197916667,7.0,7.184438326510832,7.144271172172774,0.0,0.0,3.6586591740932612,41.342848667253854,328.15,308.15,2720.0,680.0,
0.208333333,7.0,7.186236931445628,7.12810418655749,0.0,0.0,3.6586591740932612,41.342848667253854,328.15,308.15,2720.0,680.0,
0.21875,7.0,7.188010813270938,7.112460350833185,0.0,0.0,3.6586591740932612,41.342848667253854,328.15,308.15,2720.0,680.0,
0.229166667,7.0,7.189759850228907,7.097297366673809,0.0,0.0,3.6586591740932612,41.342848667253854,328.15,308.15,2720.0,680.0,
0.239583333,7.0,7.191483949817383,7.082577113826413,0.0,0.0,3.6586591740932612,41.342848667253854,328.15,308.15,2720.0,680.0,
0.25,7.0,7.193183049240023,7.068265518185921,0.0,0.0,1.0771099715235335,12.171342678215929,328.15,308.15,2720.0,680.0,
0.260416667,7.0,7.1948571135811035,7.0691154225783785,0.0,0.0,1.0771099715235335,12.171342678215929,328.15,308.15,2720.0,680.0,
0.270833333,7.0,7.196506220547323,7.067427322101876,0.0,0.0,1.0771099715235335,12.171342678215929,328.15,308.15,2720.0,680.0,
0.28125,7.0,7.198130627100664,7.065430426968163,0.0,0.0,1.0771099715235335,12.171342678215929,328.15,308.15,2720.0,680.0,
0.291666667,7.0,7.199730042694136,7.063290406441783,0.0,0.0,1.0771099715235335,12.171342678215929,328.15,308.15,2720.0,680.0,
0.302083333,7.0,7.201304520094796,7.061051601017987,0.0,0.0,1.0771099715235335,12.171342678215929,328.15,308.15,2720.0,680.0,
0.3125,7.0,7.202854139892978,7.058729671739304,0.0,0.0,1.0771099715235335,12.171342678215929,328.15,308.15,2720.0,680.0,
0.322916667,7.0,7.204379003436867,7.056334126047287,0.0,0.0,1.0771099715235335,12.171342678215929,328.15,308.15,2720.0,680.0,
0.333333333,7.0,7.205879231041975,7.053872970593362,0.0,0.0,1.0771099715235335,12.171342678215929,328.15,308.15,2720.0,680.0,
0.34375,7.0,7.207354960637012,7.0513536219185795,0.0,0.0,1.0771099715235335,12.171342678215929,328.15,308.15,2720.0,680.0,
0.354166667,7.0,7.2088063453344455,7.04878306047026,0.0,0.0,1.0771099715235335,12.171342678215929,328.15,308.15,2720.0,680.0,
0.364583333,7.0,7.210233552777156,7.046167839648012,0.0,0.0,1.0771099715235335,12.171342678215929,328.15,308.15,2720.0,680.0,
0.375,7.0,7.211636764356312,7.04351407732942,0.0,0.0,0.799335976838625,9.032496538276463,328.15,308.15,2720.0,680.0,
0.385416667,7.0,7.213016173158443,7.042391787995822,0.0,0.0,0.799335976838625,9.032496538276463,328.15,308.15,2720.0,680.0,
0.395833333,7.0,7.214371983551828,7.04094200224255,0.0,0.0,0.799335976838625,9.032496538276463,328.15,308.15,2720.0,680.0,
0.40625,7.0,7.215704410570245,7.039432606686355,0.0,0.0,0.799335976838625,9.032496538276463,328.15,308.15,2720.0,680.0,
0.416666667,7.0,7.217013678038215,7.037882350970005,0.0,0.0,0.799335976838625,9.032496538276463,328.15,308.15,2720.0,680.0,
0.427083333,7.0,7.218300018300691,7.036299095877021,0.0,0.0,0.799335976838625,9.032496538276463,328.15,308.15,2720.0,680.0,
0.4375,7.0,7.219563671723101,7.034687808099803,0.0,0.0,0.799335976838625,9.032496538276463,328.15,308.15,2720.0,680.0,
0.447916667,7.0,7.220804884965675,7.033052535373758,0.0,0.0,0.799335976838625,9.032496538276463,328.15,308.15,2720.0,680.0,
