prbs_segment,start_d,end_d,duration_d,pH_sp,stage2_pH_start,stage2_pH_end,stage2_pH_min,stage2_pH_max,MAE_pH,RMSE_pH,final_abs_error_pH,q_NaOH_max_m3_d,q_HCl_max_m3_d
0,0.0,1.9567581112961003,1.9567581112961003,7.0,7.261303246469217,7.008035413642661,7.0076920631477,7.280290499439009,0.04156131606793328,0.08499351674567522,0.008035413642661027,0.0,3.658659174093261
1,1.9567581112961003,3.818156621971438,1.8613985106753377,8.4,7.008036418814034,8.40734938207598,7.008036418814034,8.445261350913922,0.08831110625698525,0.29678709795296926,0.007349382075979349,8.058034095096936,0.4418372207192419
2,3.818156621971438,5.095955173367859,1.2777985513964207,7.0,8.40731771070209,6.99993575050679,6.971354947031851,8.40731771070209,0.14016867310167122,0.3954745485698944,6.42494932101556e-05,0.1627095123205602,17.914392488844566
3,5.095955173367859,5.914398024677552,0.8184428513096931,8.4,6.99992950997425,8.398619082590336,6.999916247153912,8.461888578285496,0.14733749796835413,0.38776169313903003,0.001380917409663951,8.024372727482461,0.5221220787410661
4,5.914398024677552,7.726811736070119,1.8124137113925674,7.0,8.398629646362219,6.9972687758773695,6.930294271886231,8.398718653286371,0.12097037144769132,0.37650393062043164,0.0027312241226304934,0.1658362835064177,17.908205369951826
5,7.726811736070119,8.867305897050882,1.1404941609807624,8.4,6.997272965180919,8.395870573421247,6.997272965180919,8.482415571407055,0.10587643499124283,0.32303953993752627,0.004129426578753481,8.024872205416058,0.7004669576944531
6,8.867305897050882,11.187295028026094,2.3199891309752125,7.0,8.395891227427374,6.996591378327934,6.902529792135221,8.395891227427374,0.04646447645680727,0.2001732721969053,0.0034086216720661255,0.2979245670845483,17.907390559537475
7,11.187295028026094,13.57035001186875,2.3830549838426567,8.4,6.996601416246079,8.397042473040958,6.996601416246079,8.496683200252486,0.07758260666178868,0.2893611682504973,0.002957526959042056,8.027102445801233,0.8895210966434282
8,13.57035001186875,16.298093720335366,2.7277437084666154,7.0,8.397056675345512,6.9960160009608,6.901354781707251,8.397127807586015,0.06934605330142286,0.2672670079450229,0.003983999039199659,0.3106670035550326,17.90985731604838
9,16.298093720335366,18.297763543090745,1.9996698227553793,8.4,6.996032853644693,8.396022314305629,6.996032853644693,8.500324722969202,0.09960268889963386,0.3316320683602829,0.003977685694371402,8.026840073080464,0.9448491923001132
10,18.297763543090745,20.347433097131635,2.0496695540408894,7.0,8.396041247791626,6.99530795176391,6.892253738133511,8.39617428538432,0.10413332144551228,0.3382650256541074,0.004692048236090152,0.3590159249948395,17.909873934003635
11,20.347433097131635,21.56059095521877,1.2131578580871363,8.4,6.995319802011824,8.393910668041192,6.995312876009407,8.498927147450349,0.10173593952034289,0.3120248511467203,0.006089331958808231,8.02598084038218,0.9377143221565564
12,21.56059095521877,24.390649715286827,2.830058760068056,7.0,8.393939826847713,6.996324602786064,6.88098792050894,8.394115658014874,0.07008460811713667,0.2743008809594011,0.003675397213935838,0.4146496044961526,17.90833926854954
13,24.390649715286827,25.78847660363983,1.397826888353002,8.4,6.996318682030765,8.395280462499649,6.996318682030765,8.505347544186963,0.17176803291925022,0.44854695171247183,0.004719537500351478,8.032321655267278,0.9941984557618444
14,25.78847660363983,28.317539850249812,2.529063246609983,7.0,8.395303297865965,6.996379891154311,6.878862013900737,8.395487632219778,0.08936924980709705,0.31693346806095546,0.003620108845688641,0.434252436864865,17.909717746795444
15,28.317539850249812,29.85594555969057,1.5384057094407595,8.4,6.996427568292773,8.395814845400913,6.996405808295681,8.5049585687314,0.10862182646896179,0.34008032140454897,0.004185154599086971,8.032693059995749,0.9877254790563432
16,29.85594555969057,32.195212585345345,2.339267025654774,7.0,8.395836093782762,6.996161409164589,6.882327995549755,8.395857408791711,0.05334444751296736,0.21951938248576497,0.0038385908354108267,0.4154686531444527,17.910614297224722
17,32.195212585345345,33.02557564920001,0.8303630638546622,8.4,6.996164191943287,8.394395501520826,6.996164191943287,8.503678014251996,0.19681773431479313,0.46288459061440107,0.005604498479174325,8.032674012048933,0.9737248064462268
18,33.02557564920001,34.19542469007696,1.1698490408769544,7.0,8.394401887857873,6.994915176302662,6.871104962152314,8.394468516985807,0.19893328477232958,0.48438626042903776,0.005084823697337981,0.474205634456549,17.909953061870166
19,34.19542469007696,34.9103586089267,0.7149339188497379,8.4,6.994943780959436,8.393692978517942,6.994937474705984,8.501842245808298,0.22743199820845642,0.49917923077688425,0.006307021482058417,8.031920918266259,0.9668536392886508
20,34.9103586089267,37.71162370900559,2.8012651000788935,7.0,8.393659067972886,6.996732538687538,6.868815805701602,8.393659067972886,0.08000524718169742,0.30047619005512294,0.0032674613124621388,0.4806975264311448,17.912242136500744
21,37.71162370900559,40.60645208477018,2.8948283757645896,8.4,6.9967269156849525,8.398046216085229,6.9967269156849525,8.507040882025438,0.04889531350087955,0.21750236051850327,0.001953783914771634,8.036033340931832,1.0035938935053506
22,40.60645208477018,43.4740344956752,2.8675824109050154,7.0,8.39805585289564,6.996166029131441,6.903528983699253,8.398065532083972,0.045953634402960894,0.19925911577468527,0.003833970868559078,0.3012733552568705,17.913877479176502
23,43.4740344956752,44.030735423180246,0.5567009275050481,8.4,6.996121983971022,8.397076738048117,6.996121983971022,8.50084560327443,0.2154434074060814,0.46114437313203466,0.0029232619518833047,8.032085374740307,0.9388565086284888
24,44.030735423180246,45.71794886172648,1.6872134385462303,7.0,8.39684374077661,6.995769446631542,6.869735762203805,8.39684374077661,0.13835501327833621,0.40305500944203243,0.004230553368458345,0.4792918833978603,17.921889077194287
25,45.71794886172648,46.90911385020053,1.1911649884740498,8.4,6.995813414398669,8.395083039947945,6.995813414398669,8.50391727177575,0.11426248462398933,0.3389064750446402,0.00491696005205533,8.034631968556985,0.977065874003764
26,46.90911385020053,47.4860031549956,0.576889304795074,7.0,8.395106539252133,7.001098557572773,6.879370341197356,8.395296554636763,0.37739099416191263,0.6658506486441621,0.0010985575727726626,0.4297156920947527,17.910752214174167
27,47.4860031549956,48.18678663399923,0.7007834790036327,8.4,6.999961959071324,8.392426732907456,6.998821525315464,8.495462970249546,0.15000577030535192,0.37276789854862263,0.007573267092544356,7.999508015743334,0.907794174695546
28,48.18678663399923,50.78100295774003,2.5942163237407954,7.0,8.392405220903312,6.995942170988407,6.875902143835957,8.392405220903312,0.07532736728738498,0.28599736196928094,0.004057829011593128,0.4327448491169675,17.911982255891466
29,50.78100295774003,53.32308304645891,2.5420800887188832,8.4,6.995911719574446,8.397419824174257,6.995911719574446,8.504645526116725,0.0897646196298005,0.31959920850393886,0.002580175825743325,8.03538170890362,0.9823232532259308
30,53.32308304645891,55.94733484937287,2.6242518029139603,7.0,8.397432309394189,6.99592716360258,6.900293482186439,8.397482249208364,0.06609222333378796,0.2582803188222074,0.004072836397419621,0.3171909840632371,17.91366828894605
31,55.94733484937287,58.41568835645697,2.468353507084096,8.4,6.995954947865132,8.397276822008429,6.995954947865132,8.500323627233223,0.06914318451305076,0.26938693957831766,0.0027231779915712906,8.032300756010608,0.933689410023496
32,58.41568835645697,61.14536050124404,2.7296721447870738,7.0,8.397289679620696,6.9959186714044606,6.903558604360939,8.397392617765881,0.08482446250951842,0.3061561989802393,0.004081328595539446,0.297400714688885,17.913721635111738
33,61.14536050124404,63.53897566701495,2.3936151657709104,8.4,6.995863224799245,8.397130119774035,6.995863224799245,8.500108373400085,0.10161139891526644,0.34299816734941285,0.00286988022596546,8.032251693577818,0.9307172044960268
34,63.53897566701495,65.0610924085894,1.5221167415744503,7.0,8.397143695229957,6.994568097153033,6.902115925378155,8.397252430904066,0.14815009268843604,0.4100003835580918,0.0054319028469667074,0.3051922082348914,17.913578418355673
35,65.0610924085894,67.7812635710963,2.720171162506901,8.4,6.994580894427056,8.396983245511963,6.994580894427056,8.492920708397465,0.06886038416785822,0.27144608455761715,0.0030167544880370656,8.026914015277441,0.8657713216479922
36,67.7812635710963,69.63328761086689,1.8520240397705834,7.0,8.39699728047335,6.994453611352127,6.910863425416325,8.39710925720788,0.12392617530843072,0.37252967885601385,0.005546388647872824,0.2526141599512331,17.913945731098618
