input,gain_pH_per_kmol_d,gain_pH_per_m3_d,tau_d,tau_h,theta_d,theta_h,theta_min,fit_initial_state_pH
NaOH,0.14081226871399158,3.5203067178497895,2.3,55.199999999999996,0.0,0.0,0.0,-0.4508146176682433
HCl,-0.13250572527591423,-1.497314695617831,2.3,55.199999999999996,0.0,0.0,0.0,-0.45081461766824327
