episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage2_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH
14,56,840,5.841350317001343,102.71232843399048,66.19671780389139,6619.671780389139,9754.316760491642,46.3365,3088.308480102503,4810.049626338465,4710.625258056516,2336.4187609666133,1544.55,6.176616960205006,5.35487684971161,2.70190349225236,6.666720681300232,6.429888195973899
15,56,896,5.84690260887146,109.19378185272217,75.9172174050574,7591.721740505741,10581.371984256532,37.58175,2952.0684937507913,5187.261913526997,5104.686248345888,2894.238223836461,1252.725,5.904136987501583,5.176461510859313,8.390501573445421,6.526510282726347,6.496667794557373
16,56,952,5.755217552185059,115.78917455673218,-19.878248710416727,-1987.8248710416726,10244.14640306461,35.61855,12196.35272410628,5248.781306127939,4865.027015914187,1303.3808102248222,1187.2849999999999,24.392705448212563,5.067669804358487,1.2858346620887677,6.415879791643648,3.54375008291392
17,56,1008,5.910536527633667,122.74733853340149,48.34126347185267,4834.126347185267,10323.29674608374,38.581199999999995,5450.589198898475,5131.845483633051,4977.625400480461,2138.2586197022847,1286.04,10.90117839779695,5.134742964677821,1.2616330944334841,6.4443482787622415,5.510546223974934
18,56,1064,5.680252313613892,130.15183854103088,93.86218364853562,9386.218364853561,10688.503219974846,32.224425,1270.060430121284,5200.583820598615,5171.1888906977565,3167.3050867847387,1074.1475,2.5401208602425682,5.117960578710218,6.855444122558889,6.446979378415894,7.133983512809331
19,56,1120,5.776834487915039,137.36135840415955,83.97718629501989,8397.71862950199,10502.443085978462,23.35605,2081.368406476472,5115.532264786929,5069.47257833376,3174.3824285777305,778.5349999999999,4.162736812952945,5.2698315468244905,6.614839110210324,6.649758504202819,7.077775665227297
20,56,1176,5.853988885879517,144.33497381210327,89.4620376806723,8946.20376806723,10677.562893851444,23.057399999999998,1708.3017257842146,5211.398395371647,5163.269180517121,3028.953179626745,768.5799999999999,3.4166034515684287,5.096247296855446,6.1060444225452475,6.488777314968331,7.072851760057686
21,56,1232,6.100287675857544,151.38119959831238,90.49256948948907,9049.256948948907,10550.285405298713,26.813175,1474.2152813498058,5124.373517180431,5101.1885908048735,3247.232973134084,893.7725,2.9484305626996115,5.344165673763228,6.645201007691248,6.686462994253704,7.012221069154307
22,56,1288,6.497052431106567,158.94919157028198,92.96614350927716,9296.614350927715,10788.664854085466,34.66005,1457.3904531577498,5247.798209782284,5221.075884386108,3197.907599170748,1155.335,2.9147809063154995,5.10434480821523,5.96575330012781,6.472439140685446,6.792968991560009
23,56,1344,6.605778932571411,166.39858174324036,88.19543934052024,8819.543934052024,10670.631933033146,28.582274999999996,1822.5057239811208,5221.536633490091,5168.164329429155,2809.309701139,952.7425000000001,3.6450114479622417,5.067555811359319,8.426776443675928,6.411536673378284,7.086170286096975
