policy,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage1_ch4_m3,total_stage2_ch4_m3,total_total_ch4_m3,total_chemical_m3,total_chemical_kmol,total_ph_violation_pH_d,steps,final_time_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH,mean_stage1_acid_yield,mean_stage2_vfa_conversion,mean_stage2_ch4_per_vfa_in,fixed_action,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,stage1_pH_sp,stage2_pH_sp
dqn_deterministic,79.47873742228796,7947.873742228798,9850.313991190364,133.3975,1769.042748961566,4771.534223574678,4745.328461941901,6715.90459846931,3134.4093927210524,9850.313991190364,45.037499999999994,666.9875,3.5380854979231318,56,7.0,6.567407054864045,6.877422303485099,6.8924559577731435,7.316370463093402,0.13637850523783537,0.9799010014937934,2.334310651010661,,,,,,,,,,
best_fixed_open_loop_action,77.02178103935768,7702.178103935767,9625.515392387644,10.5,1912.8372884518762,5182.801672820451,5151.649055036774,6377.523526747907,3247.9918656397363,9625.515392387644,2.0999999999999996,52.5,3.8256745769037526,56,7.0,6.553737034165714,7.527337040882018,6.941565835671502,7.406543726326471,0.14813322339620089,0.9785257046724288,2.1478200186442105,22.0,22.0,0.3,0.0,0.3,0.0,0.0,0.0,,
zero_dosing_open_loop,73.37063677088236,7337.063677088236,8582.519476610138,0.0,1245.4557995218997,5181.967757163942,5151.616354275671,5323.8325905646725,3258.6868860454642,8582.519476610138,0.0,0.0,2.4909115990437996,56,7.0,5.120241278981284,7.44318877409144,6.48491776195881,7.382720076546688,0.14810938867860265,0.9785188728620992,2.168278502651114,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fixed_pH7_PI_both_stages,29.659901995257165,2965.990199525717,7866.357495257212,1001.2383434691824,3899.1289522623124,6235.134379749672,6211.117472634525,4153.873227539463,3712.4842677177476,7866.357495257212,320.79882790238787,5006.1917173459115,7.798257904524625,56,7.0,9.510251385788898,7.017663540038139,7.419040635709723,7.011430719223607,0.17821066911058475,0.9813669550539836,2.501071656097186,,,,,,,,,7.0,7.0
