update_index,episode_end,batch_episodes,batch_steps,entropy_coef,policy_loss,value_loss,entropy,approx_kl
0,3,4,224,0.01955,-0.016989054158329964,145.42425537109375,3.2120883464813232,0.0011959392577409744
1,7,4,224,0.01895,-0.20127178728580475,75.6426773071289,3.2090065479278564,0.0007736142724752426
2,11,4,224,0.01835,-0.04864935949444771,83.5849380493164,3.204827070236206,0.0013147717108950019
3,15,4,224,0.017750000000000002,0.0597979836165905,140.5446014404297,3.198007822036743,0.0009874844690784812
4,19,4,224,0.01715,0.1676817685365677,48.51958084106445,3.189215898513794,0.0020542002748697996
5,23,4,224,0.016550000000000002,0.034746814519166946,85.34524536132812,3.1703741550445557,0.002822649898007512
6,27,4,224,0.01595,-0.11623556166887283,106.7182388305664,3.1441328525543213,0.002705644816160202
7,31,4,224,0.01535,0.031130099669098854,141.25120544433594,3.112009286880493,0.0029845561366528273
8,35,4,224,0.014750000000000001,0.04039623215794563,135.7742462158203,3.0774879455566406,0.0025705378502607346
9,39,4,224,0.01415,-0.05082274600863457,170.2821502685547,3.045786142349243,0.0013500662753358483
10,43,4,224,0.01355,0.14697568118572235,130.23321533203125,3.0218989849090576,0.001713233650662005
11,47,4,224,0.012950000000000001,0.037869516760110855,219.7222137451172,2.997938394546509,0.001146394177339971
12,51,4,224,0.01235,0.10872844606637955,150.0747833251953,2.9744529724121094,0.0019229855388402939
13,55,4,224,0.01175,-0.1625843197107315,132.63058471679688,2.933429479598999,0.004515995737165213
14,59,4,224,0.011150000000000002,-0.17096209526062012,133.89967346191406,2.8731071949005127,0.00442992290481925
15,63,4,224,0.01055,-0.07878925651311874,159.68406677246094,2.8191421031951904,0.006692696362733841
16,67,4,224,0.00995,-0.11082560569047928,201.09974670410156,2.823904037475586,0.012266188859939575
17,71,4,224,0.00935,0.08069514483213425,179.6576385498047,2.8216259479522705,0.006457047536969185
18,75,4,224,0.00875,-0.035062626004219055,152.3855743408203,2.8437821865081787,0.0026145167648792267
19,79,4,224,0.008150000000000001,-0.06490415334701538,180.9361114501953,2.8526010513305664,0.0038431782741099596
20,83,4,224,0.007550000000000001,-0.06911423057317734,149.41307067871094,2.846626043319702,0.0010747592896223068
21,87,4,224,0.006950000000000001,0.036184776574373245,149.97303771972656,2.833224296569824,0.0013855695724487305
22,91,4,224,0.00635,0.08426343649625778,160.2977752685547,2.8240175247192383,0.0017651449888944626
23,95,4,224,0.005750000000000002,0.02426259033381939,156.27630615234375,2.788360834121704,0.001315538422204554
24,99,4,224,0.005150000000000002,-0.0453675240278244,106.66778564453125,2.7582833766937256,0.0013814009726047516
25,103,4,224,0.005000000000000001,0.12104197591543198,120.17532348632812,2.7188403606414795,0.0023094918578863144
26,107,4,224,0.005000000000000001,0.04472547769546509,158.4121856689453,2.69486927986145,0.0021884802263230085
27,111,4,224,0.005000000000000001,-0.025086330249905586,167.354736328125,2.7044694423675537,0.002763445721939206
28,115,4,224,0.005000000000000001,0.007531372364610434,163.7365264892578,2.731498956680298,0.0032687645871192217
29,119,4,224,0.005000000000000001,-0.03883501514792442,120.44949340820312,2.737156629562378,0.0032780400943011045
30,123,4,224,0.005000000000000001,-0.029864206910133362,146.54148864746094,2.7326571941375732,0.005367971956729889
31,127,4,224,0.005000000000000001,0.1523994356393814,142.14784240722656,2.7194435596466064,0.0038540728855878115
32,131,4,224,0.005000000000000001,-0.12950663268566132,165.2721710205078,2.6899330615997314,0.004173775669187307
33,135,4,224,0.005000000000000001,0.025972740724682808,127.97885131835938,2.6315290927886963,0.005573529750108719
34,139,4,224,0.005000000000000001,0.034274645149707794,146.40106201171875,2.5948801040649414,0.003150810720399022
35,143,4,224,0.005000000000000001,0.018243014812469482,119.41719818115234,2.6042306423187256,0.0036746386904269457
36,147,4,224,0.005000000000000001,-0.12002501636743546,151.2801055908203,2.6296865940093994,0.007015825714915991
37,151,4,224,0.005000000000000001,0.06442772597074509,127.07454681396484,2.6306281089782715,0.0017083281418308616
38,155,4,224,0.005000000000000001,0.12349188327789307,159.8647003173828,2.6413705348968506,0.004116289783269167
39,159,4,224,0.005000000000000001,0.025940129533410072,248.9289093017578,2.6840274333953857,0.005151826422661543
40,163,4,224,0.005000000000000001,-0.03995427489280701,144.1843719482422,2.6394407749176025,0.004447119310498238
41,167,4,224,0.005000000000000001,0.18954449892044067,171.30271911621094,2.6332156658172607,0.003147449344396591
42,171,4,224,0.005000000000000001,-0.009963017888367176,122.25653839111328,2.6191399097442627,0.0023903686087578535
43,175,4,224,0.005000000000000001,0.030392562970519066,180.6960906982422,2.682330369949341,0.010999475605785847
44,179,4,224,0.005000000000000001,0.00799455214291811,113.52032470703125,2.667780637741089,0.004870751406997442
45,183,4,224,0.005000000000000001,-0.020452996715903282,138.75648498535156,2.6611673831939697,0.005179115105420351
46,187,4,224,0.005000000000000001,0.10732096433639526,142.33558654785156,2.637648820877075,0.004397572483867407
47,191,4,224,0.005000000000000001,-0.012618987821042538,149.0760955810547,2.608322858810425,0.001582502038218081
48,195,4,224,0.005000000000000001,-0.04255200922489166,152.51869201660156,2.5893497467041016,0.0008597429841756821
49,199,4,224,0.005000000000000001,-0.004755919333547354,147.61834716796875,2.6166930198669434,0.0010934695601463318
50,203,4,224,0.005000000000000001,0.1026778519153595,116.82691192626953,2.6513710021972656,0.0022578276693820953
51,207,4,224,0.005000000000000001,0.05952437222003937,129.71755981445312,2.6667864322662354,0.0027931183576583862
52,211,4,224,0.005000000000000001,0.0048535787500441074,131.12008666992188,2.6773879528045654,0.002841159701347351
53,215,4,224,0.005000000000000001,0.019452502951025963,145.74673461914062,2.658458948135376,0.0024709508288651705
54,219,4,224,0.005000000000000001,-0.011241674423217773,122.95024871826172,2.577484369277954,0.005998220760375261
55,223,4,224,0.005000000000000001,-0.1639460176229477,116.98138427734375,2.5486037731170654,0.00757979229092598
56,227,4,224,0.005000000000000001,-0.08822599798440933,118.56289672851562,2.44986891746521,0.006839206907898188
57,231,4,224,0.005000000000000001,-0.1360180377960205,133.6471405029297,2.466273546218872,0.003837408497929573
58,235,4,224,0.005000000000000001,-0.07565485686063766,110.27019500732422,2.4005985260009766,0.0026504043489694595
59,239,4,224,0.005000000000000001,-0.11864480376243591,136.45884704589844,2.4554684162139893,0.010337134823203087
60,243,4,224,0.005000000000000001,0.024920441210269928,92.37586212158203,2.510051727294922,0.0016386844217777252
61,247,4,224,0.005000000000000001,-0.12993153929710388,108.71923065185547,2.3527674674987793,0.0029339175671339035
62,251,4,224,0.005000000000000001,-0.09967266768217087,117.89456176757812,2.2829949855804443,0.004090260714292526
63,255,4,224,0.005000000000000001,0.04224000498652458,91.96795654296875,2.234987497329712,0.005500059574842453
64,259,4,224,0.005000000000000001,0.013576527126133442,113.41223907470703,2.150195598602295,0.0013867821544408798
65,263,4,224,0.005000000000000001,-0.09298334270715714,104.63845825195312,2.1671078205108643,0.0029123190324753523
66,267,4,224,0.005000000000000001,-0.029853252694010735,118.02080535888672,2.162630319595337,0.0012891242513433099
67,271,4,224,0.005000000000000001,-0.21341080963611603,109.26444244384766,2.112931728363037,0.001345362514257431
68,275,4,224,0.005000000000000001,0.07493527978658676,95.7335205078125,2.1327621936798096,0.0013429553946480155
69,279,4,224,0.005000000000000001,-0.06317109614610672,97.3313217163086,2.0545079708099365,0.0012450056383386254
70,283,4,224,0.005000000000000001,0.12720303237438202,102.39965057373047,2.045717477798462,0.002146932063624263
71,287,4,224,0.005000000000000001,-0.012299182824790478,95.39635467529297,1.9197567701339722,0.00550099229440093
72,291,4,224,0.005000000000000001,-0.14068035781383514,107.3336181640625,1.805699348449707,0.006098885089159012
73,295,4,224,0.005000000000000001,0.05208861827850342,79.373779296875,1.8968943357467651,0.0018279670039191842
74,299,4,224,0.005000000000000001,0.028254712000489235,80.98238372802734,1.843448281288147,0.0026258633006364107
75,303,4,224,0.005000000000000001,0.08232077211141586,72.56346130371094,1.9253822565078735,0.0016401726752519608
76,307,4,224,0.005000000000000001,0.011130760423839092,66.77449035644531,1.8310521841049194,0.003625462995842099
77,311,4,224,0.005000000000000001,0.015820980072021484,67.5769271850586,1.6666617393493652,0.009172082878649235
78,315,4,224,0.005000000000000001,0.09686819463968277,73.32379913330078,1.5530753135681152,0.0006915666162967682
79,319,4,224,0.005000000000000001,-0.003455276368185878,78.3769302368164,1.740106463432312,0.006324859336018562
80,323,4,224,0.005000000000000001,-0.015329457819461823,71.80152893066406,1.7840474843978882,0.0021250706631690264
81,327,4,224,0.005000000000000001,-0.03353368863463402,53.23173522949219,1.876943588256836,0.004395094234496355
82,331,4,224,0.005000000000000001,0.03826881945133209,52.36448287963867,1.9623923301696777,0.0007891406421549618
