policy,episodes,total_reward,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_active_biomass_relative_growth,total_stage2_active_biomass_relative_growth,final_stage1_active_biomass_kgCOD_m3,final_stage2_active_biomass_kgCOD_m3,total_total_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d
DQN deterministic ep500,500,18.618614572496718,1904.7806239163383,42.919166666666655,0.0,-0.013817110830768507,-0.0029298015402265997,2.965555496935242,2.998294779139377,1921.3202184458708,214.59583333333327,0.34675826514987707
DQN deterministic ep700,700,18.74314876939684,1915.3940436063508,41.079166666666666,0.0,-0.011589540933074845,-0.002935179923067514,2.972254033512446,2.998278605777444,1946.0259025448481,205.39583333333331,0.9429977327502045
DQN deterministic ep800,800,18.64098991079919,1918.4731577465855,54.37416666666667,0.0,-0.011089630659724651,-0.0029243453870072844,2.973757316194989,2.9983111863650036,1947.4453893107977,271.8708333333333,0.7182395830235807
DQN deterministic ep900,900,18.331780193014456,1911.4030193014455,78.22499999999997,0.0,-0.011411593998791984,-0.0037219725045470288,2.9727891386282628,2.9959126378717142,1820.677179711084,391.12499999999983,1.3544090722310154
best_fixed_open_loop_action,,19.133335380771005,1915.5935380771,2.26,0.0,-0.0116501413252878,-0.0029319429268414,2.9720718017700203,2.9982883397649807,1981.093545982768,11.299999999999995,0.8029178042368181
zero_dosing_open_loop,,19.129169100410135,1912.9169100410136,0.0,0.0,-0.0121414021108311,-0.0029333305140771,2.9705945290055094,2.998284167144466,1993.1003568357385,0.0,0.873690863544453
fixed_pH7_PI_both_stages,,19.01201657486893,1918.4283624327384,17.22670494584559,0.0,-0.0111678809150567,-0.002913963253821,2.9735220094609285,2.9983424065296185,2040.8074202854168,86.13352472922793,0.6859924085502589
