decision_step,reward,stage1_vfa_in_kgCOD,stage1_vfa_out_kgCOD,stage1_vfa_produced_kgCOD,stage1_fermentable_in_kgCOD,stage2_vfa_in_kgCOD,stage2_vfa_out_kgCOD,stage2_vfa_removed_kgCOD,stage1_ch4_m3,stage2_ch4_m3,total_ch4_m3,chemical_m3,chemical_kmol,stage1_ph_violation_pH_d,stage2_ph_violation_pH_d,ph_violation_pH_d,reward_benefit,reward_chemical_cost,reward_ph_cost,reward_raw,time_d,episode_elapsed_d,episode_start_d,episode_start_index,influent_csv,use_dynamic_flow,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_pH_sp,stage2_pH_sp,stage1_pH,stage2_pH,stage1_vfa_kgCOD_m3,stage2_vfa_kgCOD_m3,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,q_ad_m3_d,stage1_q_ch4_m3_d,stage2_q_ch4_m3_d,stage1_acid_yield,stage2_vfa_conversion,stage2_ch4_per_vfa_in,policy,window_id,window_start_d
10,1.039170844645307,0.0,27.697330187516464,27.697330187516464,370.26030098979464,27.697330187516464,0.10698204586378854,27.590348141652676,107.40136376815478,38.453795990339465,145.85515975849424,0.7000000000000001,7.910000000000002,0.08071215058792712,0.0,0.08071215058792712,145.85515975849424,1.5820000000000005,40.35607529396356,103.91708446453069,1.375,1.375,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,7.0457082227961525,7.188345105426495,1.778956478253033,0.007261323249116709,0.0,0.6,0.0,5.0,212.940676026777,844.3007518096539,306.6291556053134,0.07480502261105189,0.9961374599956206,1.3883574961918559,dqn1000_deterministic,0,0.0
11,1.1479726814251783,0.0,54.129865110232124,54.129865110232124,1040.8999018545392,54.129865110232124,0.2582283893957114,53.87163672083639,112.02062821989178,43.69695416088341,155.71758238077518,0.7000000000000001,7.910000000000002,0.07867662847651472,0.0,0.07867662847651472,155.71758238077518,1.5820000000000005,39.33831423825736,114.79726814251782,1.5,1.5,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,7.00931202966262,7.142274447378423,1.9418167634304528,0.00956053075072268,0.0,0.6,0.0,5.0,213.137396887913,954.2496413923809,381.0646334033551,0.05200294957641039,0.9952294654924806,0.8072614641085335,dqn1000_deterministic,0,0.0
12,1.3639069174879581,0.0,46.163857245552975,46.163857245552975,838.0390569187479,46.163857245552975,0.21367739693360777,45.950179848619364,125.13034290326932,49.23078610589495,174.36112900916427,0.7000000000000001,7.910000000000002,0.07277687452073694,0.0,0.07277687452073694,174.36112900916427,1.5820000000000005,36.38843726036847,136.3906917487958,1.625,1.625,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,6.961822980714338,7.100593667879584,2.169285730359616,0.009233092881621696,0.0,0.6,0.0,5.0,152.072281570078,1025.1944754165415,392.3046433184,0.05508556774822106,0.99537132705794,1.0664357149366546,dqn1000_deterministic,0,0.0
13,1.40650451764026,0.0,42.62824118443112,42.62824118443112,674.7313069466941,42.62824118443112,0.16676656186541558,42.461474622565696,128.51001116565283,47.827128535123336,176.3371397007762,0.7000000000000001,7.910000000000002,0.06820937587350041,0.0,0.06820937587350041,176.3371397007762,1.5820000000000005,34.10468793675021,140.650451764026,1.75,1.75,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,6.933912623151463,7.061872937842769,2.3229831234921083,0.008994878817046794,0.0,0.6,0.0,5.0,187.698006098625,1025.7496348143945,378.68749845534654,0.0631780988158578,0.9960878854667283,1.121958758002687,dqn1000_deterministic,0,0.0
14,1.4831832190479148,0.0,66.20601267410191,66.20601267410191,916.9669313954336,66.20601267410191,0.28577751790536826,65.92023515619655,131.01808071071886,51.103266511505026,182.12134722222393,0.7000000000000001,7.910000000000002,0.06444205063486494,0.0,0.06444205063486494,182.12134722222393,1.5820000000000005,32.22102531743247,148.31832190479147,1.875,1.875,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,6.8980108220461105,7.0272588034094134,2.486691035979545,0.011121527633071804,0.0,0.6,0.0,5.0,207.769552341681,1073.3640122328293,434.2807195954829,0.0722010907998068,0.9956835111138305,0.7718825594143552,dqn1000_deterministic,0,0.0
15,1.5871540913564777,0.0,57.124142955540385,57.124142955540385,711.7804873463507,57.124142955540385,0.23943772938240934,56.88470522615798,135.99199583494234,54.26739209225382,190.25938792719617,0.7000000000000001,7.910000000000002,0.059923957583096814,0.0,0.059923957583096814,190.25938792719617,1.5820000000000005,29.961978791548407,158.71540913564777,2.0,2.0,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,6.865870400326188,6.996303141079599,2.664635566744692,0.010384571683114225,0.0,0.6,0.0,5.0,157.954988013506,1092.657189544844,426.316868019019,0.08025528090620994,0.9958084670159734,0.949990481861409,dqn1000_deterministic,0,0.0
16,1.565051346932889,0.0,42.3132728814416,42.3132728814416,483.48572068158506,42.3132728814416,0.14647667161576186,42.16679620982583,135.87152352211695,50.74938118562831,186.62090470774527,0.7000000000000001,7.910000000000002,0.05706754002891273,0.0,0.05706754002891273,186.62090470774527,1.5820000000000005,28.533770014456366,156.5051346932889,2.125,2.125,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,6.851847112772067,6.9669356301008465,2.783071131725142,0.00838242882816792,0.0,0.6,0.0,5.0,103.3518406,1076.726133441072,382.8936122039727,0.08751710975412313,0.9965382807416912,1.199372625412929,dqn1000_deterministic,0,0.0
17,1.4735257986910162,0.0,33.04568629467049,33.04568629467049,352.3368814988884,33.04568629467049,0.08839774321825083,32.95728855145224,132.481364952229,44.7090259456779,177.19039089790692,0.7000000000000001,7.910000000000002,0.0565116220576106,0.0,0.0565116220576106,177.19039089790692,1.5820000000000005,28.2558110288053,147.35257986910162,2.25,2.25,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,6.85393038320395,6.938204798025508,2.8297216534186678,0.00690406630016432,0.0,0.6,0.0,5.0,91.7306938979317,1045.1811250978146,338.9109581301582,0.09379002888965159,0.9973249838895762,1.352945904860461,dqn1000_deterministic,0,0.0
18,1.4110194709788708,0.0,52.3668771221321,52.3668771221321,441.22546786400324,52.3668771221321,0.14266940668703698,52.224207715445075,128.94954685596286,42.17807022859829,171.12761708456117,0.7000000000000001,7.910000000000002,0.056887339973348154,0.0,0.056887339973348154,171.12761708456117,1.5820000000000005,28.443669986674077,141.1019470978871,2.375,2.375,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,6.852695911356629,6.911225375877611,2.8346321297553843,0.008958579763468361,0.0,0.6,0.0,5.0,223.299724524568,1028.5635506506057,353.4852715084863,0.11868507358753119,0.9972755792491829,0.8054341321562659,dqn1000_deterministic,0,0.0
19,1.5625717798386347,0.0,85.61721832368585,85.61721832368585,997.3754808099928,85.61721832368585,0.32371268582876755,85.29350563785708,134.5987710715945,50.264820224888894,184.86359129648338,0.7000000000000001,7.910000000000002,0.0540488266252398,0.0,0.0540488266252398,184.86359129648338,1.5820000000000005,27.0244133126199,156.25717798386347,2.5,2.5,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,6.808473111225777,6.889810999458253,2.979774470352773,0.011650240972145693,0.0,0.6,0.0,5.0,208.086774584993,1124.5118149553316,428.9607319659846,0.08584251364807367,0.9962190702738679,0.5870877518451592,dqn1000_deterministic,0,0.0
20,1.7124799041925387,0.0,69.41854768597548,69.41854768597548,847.0685000135858,69.41854768597548,0.25281290772418247,69.1657347782513,143.77795995944737,52.635658922129664,196.41361888157698,0.7000000000000001,7.910000000000002,0.047167256924646184,0.0,0.047167256924646184,196.41361888157698,1.5820000000000005,23.58362846232309,171.24799041925388,2.625,2.625,0.0,0,digester_influent_original_dynamic.csv,True,1,-0.6,-5.0,,,6.752804402454849,6.870759219589885,3.191945412497787,0.01106382281045494,0.0,0.6,0.0,5.0,169.735097990983,1158.548430503016,411.196304139787,0.08195151594571408,0.9963581360291804,0.758236244875569,dqn1000_deterministic,0,0.0
21,1.604904786174908,0.0,79.18844143461861,79.18844143461861,745.3821308418212,79.18844143461861,0.28288247168344877,78.90555896293515,143.89456157602407,38.591679097778304,182.4862406738024,0.012499999999999999,0.3125,0.04386652411262324,0.0,0.04386652411262324,182.4862406738024,0.0625,21.93326205631162,160.4904786174908,2.75,2.75,0.0,0,digester_influent_original_dynamic.csv,True,17,0.1,0.0,,,6.747445877347813,6.887808471151466,3.3357939850638356,0.012280964221784103,0.1,0.0,0.0,0.0,196.306511365666,1152.120516481216,274.45793678784145,0.1062387172404906,0.9964277302778206,0.4873397985694826,dqn1000_deterministic,0,0.0
22,1.6265485232073775,0.0,91.93736958950713,91.93736958950713,821.1763789227546,91.93736958950713,0.3541226090472095,91.58324698045992,144.43482015809116,39.53123917925655,183.96605933734773,0.012499999999999999,0.3125,0.042497414033219987,0.0,0.042497414033219987,183.96605933734773,0.0625,21.248707016609995,162.65485232073775,2.875,2.875,0.0,0,digester_influent_original_dynamic.csv,True,17,0.1,0.0,,,6.7316084797508005,6.90346701769463,3.471753990013693,0.013728157811966367,0.1,0.0,0.0,0.0,215.696140393156,1161.3280661383997,314.51799491433917,0.11195812732718093,0.9961482190470715,0.4299800979271032,dqn1000_deterministic,0,0.0
23,1.680360286750366,0.0,85.50960975118814,85.50960975118814,728.8015743039548,85.50960975118814,0.3243761706784345,85.18523358050972,145.46310257456108,42.634432623261326,188.0975351978224,0.012499999999999999,0.3125,0.03999801304557163,0.0,0.03999801304557163,188.0975351978224,0.0625,19.999006522785816,168.0360286750366,3.0,3.0,0.0,0,digester_influent_original_dynamic.csv,True,17,0.1,0.0,,,6.710764030835988,6.919094138139647,3.6202380940099985,0.013259041985768424,0.1,0.0,0.0,0.0,188.4448670671,1159.5699217621723,317.97733170398357,0.117329068385801,0.9962065530222595,0.4985922956182001,dqn1000_deterministic,0,0.0
24,1.65470295780263,0.0,72.07370216122041,72.07370216122041,517.3829125345204,72.07370216122041,0.24634086521530282,71.82736129600511,143.2668448314702,41.29821045024836,184.56505528171857,0.012499999999999999,0.3125,0.038064519002911135,0.0,0.038064519002911135,184.56505528171857,0.0625,19.032259501455567,165.470295780263,3.125,3.125,0.0,0,digester_influent_original_dynamic.csv,True,17,0.1,0.0,,,6.702846732241581,6.933224511047037,3.719377551825377,0.011438988876576895,0.1,0.0,0.0,0.0,133.364166876731,1130.6954667680166,292.81915141521574,0.13930437286409525,0.996582097799496,0.5729997101837382,dqn1000_deterministic,0,0.0
