episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage2_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH
10,56,616,5.079258441925049,62.55247521400452,63.00633861362441,6300.633861362439,8360.123133363777,37.267574999999994,2022.221697001337,5065.117657234526,4981.860317273307,2663.120059664821,1242.2525,4.044443394002673,5.262536983034172,7.715643170997765,6.6168553010687186,7.555441944356508
11,56,672,4.828508138656616,67.8304193019867,57.39246493366434,5739.246493366434,8510.32603518261,40.911375,2730.168166816177,5148.679477462731,4996.512771462047,3100.2177203512356,1363.7125,5.460336333632354,5.1715716302909565,6.905854544087823,6.505547497245258,7.70060178314205
12,56,728,5.0207200050354,73.27760744094849,69.77826555812194,6977.826555812194,8626.34892958132,42.97087499999999,1605.5514987691258,5004.970983271831,4969.174409773226,2893.499604738945,1432.3625,3.211102997538252,5.283931804559368,7.12761343368824,6.613009479281238,7.0842188479211945
13,56,784,5.0828940868377686,78.7878532409668,61.3937156291906,6139.371562919059,8526.475355772733,42.120149999999995,2344.9836428536732,4982.817940545501,4926.303729777072,2800.5786980952375,1404.005,4.689967285707346,5.275708092662263,2.1354672688909617,6.59307583840373,6.580730806298945
14,56,840,5.237049341201782,84.61865210533142,-66.68963138312238,-6668.963138312237,6696.782752598292,41.89035,13323.855540910528,5116.508623269896,4678.617156758107,1134.5017795904719,1396.345,26.647711081821058,5.255732799024226,1.4718365055146647,6.569973935569793,3.253721909947506
15,56,896,4.957490921020508,90.13821268081665,65.75128521249441,6575.128521249441,8397.845373719963,49.321725,1773.395127470522,5197.129916290431,5155.893698481417,3022.784396836925,1644.0575000000001,3.546790254941044,5.171476072461244,6.74083618813531,6.508251892782037,7.172876069633899
16,56,952,4.833083868026733,95.70124173164368,-1.441316481442434,-144.1316481442433,7504.668665264713,42.36915,7606.431163408956,5160.580409510518,4952.736055267373,1947.0335352934176,1412.3049999999998,15.21286232681791,5.272378268175945,1.1832841811518118,6.593756941856831,4.934889158520623
17,56,1008,4.930864095687866,101.15383982658386,74.08751960715739,7408.751960715739,9099.750535710416,46.92465000000001,1644.0739249946782,4942.529282770205,4913.997217280292,2958.1289312144036,1564.1550000000002,3.2881478499893566,5.6148081613181935,7.706064258399347,6.774250018337164,7.122038908604018
18,56,1064,4.982745409011841,106.62486243247986,54.79743916194168,5479.7439161941675,8378.856219301804,41.927925,2857.184378107637,5031.347872399115,4960.1681324231795,2702.3855495686616,1397.5975,5.714368756215274,5.254660189222602,3.188873561029273,6.598874004628363,6.25490291844009
19,56,1120,4.99728798866272,112.27242732048035,40.82932648658425,4082.9326486584246,8509.273141935133,45.868725000000005,4380.471768276708,5278.103420060845,5148.437390871251,2985.1552220220938,1528.9575,8.760943536553416,5.323910532108665,6.7637942111365845,6.64957349037576,5.950178146683176
