policy,total_reward,total_reward_raw,total_total_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d,dominant_actions,delta_vs_pH7_PI_total_reward,delta_vs_pH7_PI_total_reward_raw,delta_vs_pH7_PI_total_total_ch4_m3,delta_vs_pH7_PI_total_chemical_kmol,delta_vs_pH7_PI_total_ph_violation_pH_d
DQN ep500 candidate,104.36894904563681,10436.894904563682,12746.23994096273,1802.0041666666657,3.8978884061314316,38 (37.5%); 10 (22.0%); 22 (12.5%),0.4425608288413514,44.25608288413605,129.6236481049673,1635.5625178023756,-0.4834898766792852
fixed_pH7_PI_both_stages,103.92638821679546,10392.638821679546,12616.616292857763,166.44164886429002,4.381378282810717,,0.0,0.0,0.0,0.0,0.0
best_fixed_open_loop_action,103.41700979248328,10341.70097924833,12843.413776299642,237.3,4.908505594102628,,-0.5093784243121746,-50.93784243121627,226.79748344187828,70.85835113571,0.5271273112919115
zero_dosing_open_loop,93.71219639690317,9371.219639690316,12636.491527798578,0.0,6.5305437762165255,,-10.214191819892292,-1021.4191819892294,19.875234940815062,-166.44164886429002,2.1491654934058086
PPO resumed latest,59.07175473462447,5907.1754734624465,6736.862497387778,416.5500000000002,1.4927540478506627,32 (53.0%); 9 (25.0%); 24 (22.0%),-44.85463348217099,-4485.463348217099,-5879.753795469986,250.10835113571017,-2.888624234960054
DQN resumed latest,40.98149179699418,4098.149179699418,12633.84315927208,7178.595833333335,14.199949625811993,34 (36.9%); 14 (31.5%); 21 (14.9%),-62.94489641980128,-6294.489641980128,17.226866414317556,7012.154184469045,9.818571343001276
