policy,fixed_action,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage1_ch4_m3,total_stage2_ch4_m3,total_total_ch4_m3,total_chemical_m3,total_chemical_kmol,total_ph_violation_pH_d,steps,final_time_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH,mean_stage1_acid_yield,mean_stage2_vfa_conversion,mean_stage2_ch4_per_vfa_in
fixed_open_loop_action,0,0.0,-0.6,-20.0,0.0,0.6,0.0,20.0,-0.1839837895018041,-18.398378950180415,377.18820606164326,6.983400000000001,388.6031850118237,146.5322759769531,140.90274907581846,728.0356807282739,897.5318100887168,1625.5674908169906,20.6,232.78000000000003,0.7772063700236473,8,1.0,7.05872785667157,6.428486624835562,7.108187836799902,6.717035884203253,0.029316979154567414,0.8887767728888795,14.885829416294627
fixed_open_loop_action,1,1.0,-0.6,-5.0,0.0,0.6,0.0,5.0,0.12215029448816789,12.215029448816786,370.7839984675014,1.8983999999999996,356.67056901868466,146.5322759769531,140.5059970705288,728.0356807282739,837.4572542001955,1565.4929349284694,5.6,63.27999999999999,0.7133411380373693,8,1.0,7.05872785667157,6.967789058419964,7.108187836799902,7.092314682264973,0.029316979154567414,0.8822378963151243,13.39374009870055
fixed_open_loop_action,2,2.0,-0.6,0.0,0.0,0.6,0.0,0.0,0.008518961005336556,0.8518961005336507,357.72586511921827,0.20339999999999997,356.67056901868466,146.5322759769531,140.03143117068288,728.0356807282739,711.621579715823,1439.657260444097,0.6000000000000001,6.779999999999999,0.7133411380373693,8,1.0,7.05872785667157,7.317039156382003,7.108187836799902,7.303396658074469,0.029316979154567414,0.8775682519654519,12.068155306538932
fixed_open_loop_action,3,3.0,-0.6,5.0,0.0,0.6,5.0,0.0,-1.151774227257486,-115.17742272574857,342.4573788461698,3.9534,453.6814015719184,146.5322759769531,136.69259649107272,728.0356807282739,592.3250637814394,1320.3607445097134,5.6,131.78,0.9073628031438368,8,1.0,7.05872785667157,8.384121408210696,7.108187836799902,7.946573949940193,0.029316979154567414,0.8533949394781954,10.327394661444659
fixed_open_loop_action,4,4.0,-0.6,20.0,0.0,0.6,20.0,0.0,-7.173231363847447,-717.3231363847447,304.81505669641393,15.203400000000002,1006.9347930811587,146.5322759769531,120.66839405563346,728.0356807282739,376.1438666382736,1104.1795473665475,20.6,506.7800000000001,2.0138695861623175,8,1.0,7.05872785667157,11.6412777256687,7.108187836799902,9.318691155356133,0.029316979154567414,0.7438334965177942,6.4332994796623915
fixed_open_loop_action,5,5.0,-0.2,-20.0,0.0,0.2,0.0,20.0,-0.26021167055756383,-26.021167055756386,382.53929370818025,6.847799999999999,401.71266076393664,149.17782918559377,143.54325890559997,714.6940631878392,898.1820561698653,1612.8761193577047,20.2,228.26,0.8034253215278733,8,1.0,7.099928654203095,6.4296008615865645,7.13692634852436,6.717453177577853,0.02984627980012769,0.8891280643368168,14.821729252306008
fixed_open_loop_action,6,6.0,-0.2,-5.0,0.0,0.2,0.0,5.0,0.04454510654900484,4.454510654900481,376.1408835104629,1.7628,369.92357285556244,149.17782918559377,143.1461101661219,714.6940631878392,838.1694415874726,1552.8635047753119,5.2,58.75999999999999,0.7398471457111249,8,1.0,7.099928654203095,6.9687863194451705,7.13692634852436,7.092766209774292,0.02984627980012769,0.8826170601447869,13.33339359669311
fixed_open_loop_action,7,7.0,-0.2,0.0,0.0,0.2,0.0,0.0,-0.06909818508826138,-6.909818508826142,363.0815543467363,0.0678,369.92357285556244,149.17782918559377,142.6696688941148,714.6940631878392,712.3405626702772,1427.0346258581162,0.2,2.2600000000000007,0.7398471457111249,8,1.0,7.099928654203095,7.318283362573856,7.13692634852436,7.303952704825571,0.02984627980012769,0.8779808589623134,12.018583410824867
fixed_open_loop_action,8,8.0,-0.2,5.0,0.0,0.2,5.0,0.0,-1.231104734327082,-123.1104734327082,347.7995120386691,3.8178,467.09218547137726,149.17782918559377,139.31813739171136,714.6940631878392,593.0354546136398,1307.729517801479,5.2,127.25999999999999,0.9341843709427546,8,1.0,7.099928654203095,8.384764573003896,7.13692634852436,7.94698272238471,0.02984627980012769,0.8540624656362503,10.287670989265068
fixed_open_loop_action,9,9.0,-0.2,20.0,0.0,0.2,20.0,0.0,-7.254021599196059,-725.4021599196058,310.1092696646027,15.067799999999997,1020.4436295842086,149.17782918559377,123.28480735266939,714.6940631878392,376.4663312633959,1091.160394451235,20.2,502.2599999999999,2.040887259168417,8,1.0,7.099928654203095,11.642404834577254,7.13692634852436,9.319185155377975,0.02984627980012769,0.7459778805494461,6.40763583693913
fixed_open_loop_action,10,10.0,0.0,-20.0,0.0,0.0,0.0,20.0,-0.29982288955604103,-29.982288955604105,385.28484942684935,6.779999999999999,408.4871383824535,150.53525671565924,144.89809591496902,707.7352936479572,898.5149679622111,1606.2502616101683,20.0,225.99999999999994,0.816974276764907,8,1.0,7.121078844920104,6.430160477521198,7.151766943075262,6.717663592495171,0.030117862796688967,0.8893039499730195,14.78961068480316
fixed_open_loop_action,11,11.0,0.0,-5.0,0.0,0.0,0.0,5.0,0.004232917941922432,0.42329179419225227,378.8887068499633,1.6949999999999998,376.770415055771,150.53525671565924,144.50074592598622,707.7352936479572,838.527042083178,1546.262335731135,5.0,56.499999999999986,0.753540830111542,8,1.0,7.121078844920104,6.969299302561299,7.151766943075262,7.092998237859348,0.030117862796688967,0.8828069819474366,13.303136345604848
