policy,windows,mean_total_reward,std_total_reward,sum_total_reward,mean_total_reward_raw,std_total_reward_raw,sum_total_reward_raw,mean_total_reward_benefit,std_total_reward_benefit,sum_total_reward_benefit,mean_total_reward_chemical_cost,std_total_reward_chemical_cost,sum_total_reward_chemical_cost,mean_total_reward_ph_cost,std_total_reward_ph_cost,sum_total_reward_ph_cost,mean_total_total_ch4_m3,std_total_total_ch4_m3,sum_total_total_ch4_m3,mean_total_chemical_kmol,std_total_chemical_kmol,sum_total_chemical_kmol,mean_total_ph_violation_pH_d,std_total_ph_violation_pH_d,sum_total_ph_violation_pH_d,mean_mean_stage1_pH,std_mean_stage1_pH,sum_mean_stage1_pH,mean_mean_stage2_pH,std_mean_stage2_pH,sum_mean_stage2_pH,mean_mean_stage2_vfa_conversion,std_mean_stage2_vfa_conversion,sum_mean_stage2_vfa_conversion,mean_mean_stage2_ch4_per_vfa_in,std_mean_stage2_ch4_per_vfa_in,sum_mean_stage2_ch4_per_vfa_in
dqn1000_deterministic,8,74.0483984332553,10.54335572251145,592.3871874660424,7404.839843325531,1054.335572251145,59238.718746604245,8987.238421891303,791.4152165671551,71897.90737513042,96.67156250000001,19.015295833942307,773.3725000000001,1485.7270160657733,356.18380858297644,11885.816128526187,8987.238421891303,791.4152165671551,71897.90737513042,483.3578125,95.07647916971159,3866.8625,2.9714540321315464,0.7123676171659529,23.77163225705237,6.645473061519986,0.25277659013219916,53.16378449215989,7.0186503752665415,0.17034261938847842,56.14920300213233,0.9680005606047019,0.0020504810225657234,7.744004484837615,2.5840580682616503,0.5178818941961596,20.672464546093202
ppo1000_deterministic,8,77.6481423702942,9.593563569056986,621.1851389623536,7764.814237029419,959.3563569056986,62118.51389623535,9329.662898041526,664.9345888474196,74637.30318433221,35.61525,4.099999832317069,284.922,1529.2334110121074,339.06717663234974,12233.867288096859,9329.662898041526,664.9345888474196,74637.30318433221,178.07625000000002,20.499999161585354,1424.6100000000001,3.058466822024215,0.6781343532646997,24.46773457619372,6.790593970686706,0.13293779052113305,54.324751765493644,7.1309697972220025,0.02881918754411342,57.04775837777602,0.9769098228228232,0.0009443663198834541,7.815278582582586,3.1794535133691495,0.6190640230395033,25.435628106953196
fixed_action_22_s1_0p3_s2_0,8,72.01507299194397,12.21367074058865,576.1205839355517,7201.507299194396,1221.367074058865,57612.05839355517,9170.58624980415,917.8339476249668,73364.6899984332,10.5,0.0,84.0,1958.5789506097558,310.4338418770058,15668.631604878046,9170.58624980415,917.8339476249668,73364.6899984332,52.5,0.0,420.0,3.917157901219511,0.6208676837540111,31.337263209756088,6.950418450586744,0.09285240406882934,55.60334760469395,7.403318162627489,0.009985379029390777,59.22654530101991,0.9763026084082447,0.0007220762871128378,7.810420867265957,3.0868002009583555,0.5911694135619352,24.694401607666844
zero_dosing_open_loop,8,69.79960029624063,6.9366906908605,558.396802369925,6979.960029624062,693.6690690860501,55839.6802369925,8324.330249735085,350.4042064823667,66594.64199788068,0.0,0.0,0.0,1344.3702201110227,366.602071665082,10754.961760888182,8324.330249735085,350.4042064823667,66594.64199788068,0.0,0.0,0.0,2.688740440222045,0.7332041433301639,21.50992352177636,6.518235133782811,0.22428759276978266,52.14588107026249,7.378619745189125,0.007938266587726145,59.028957961513,0.9762114787982136,0.0008028065506748885,7.809691830385709,3.1233793228222315,0.6060021205428737,24.987034582577852
fixed_pH7_PI_both_stages,8,25.093095353026253,10.81343859947895,200.74476282421003,2509.3095353026256,1081.343859947895,20074.476282421005,7566.6978895132925,759.7296697959462,60533.58311610634,978.3351625153224,79.94801615359611,7826.681300122579,4079.053191695345,375.25836051483594,32632.42553356276,7566.6978895132925,759.7296697959462,60533.58311610634,4891.675812576613,399.74008076798066,39133.4065006129,8.158106383390688,0.7505167210296714,65.2648510671255,7.416072038180644,0.17038262476236582,59.328576305445154,7.010902469723986,0.0017291908314362645,56.087219757791885,0.9792430783309374,0.000790405688961767,7.833944626647499,3.6117784844248524,0.7148105496964879,28.89422787539882
