policy,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage1_ch4_m3,total_stage2_ch4_m3,total_total_ch4_m3,total_chemical_m3,total_chemical_kmol,total_ph_violation_pH_d,steps,final_time_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH,mean_stage1_acid_yield,mean_stage2_vfa_conversion,mean_stage2_ch4_per_vfa_in,fixed_action,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,stage1_pH_sp,stage2_pH_sp
dqn_deterministic,80.58054701408406,8058.054701408405,10505.51213192705,16.3248,2431.1326305186435,5108.103726023412,5065.986902135063,6437.478668258902,3314.215037685731,9751.693705944632,42.7,544.16,4.862265261037287,56,7.0,6.5577326545753865,6.517052046356299,6.933115327138962,6.581611263195165,0.14599822994311326,0.9785761890582493,2.4930548918455595,,,,,,,,,,
best_fixed_open_loop_action,106.3714289947142,10637.142899471419,11532.17908796324,1.4238,893.6123884918204,5605.586780138698,5573.021911891053,4082.7665167606647,3535.7039593349054,7618.47047609557,4.199999999999999,47.46,1.7872247769836407,56,7.0,4.843601218498775,7.347730496720972,6.060374302040714,7.352646548885935,0.16021713567079085,0.9784085654246167,2.1903129728491733,2.0,2.0,-0.6,0.0,0.0,0.6,0.0,0.0,,
zero_dosing_open_loop,94.1399700052226,9413.99700052226,10659.452800044159,0.0,1245.4557995218997,5181.967757163942,5151.616354275671,5323.8325905646725,3258.6868860454642,8582.519476610138,0.0,0.0,2.4909115990437996,56,7.0,5.120241278981284,7.44318877409144,6.48491776195881,7.382720076546688,0.14810938867860265,0.9785188728620992,2.168278502651114,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,,
fixed_pH7_PI_both_stages,87.6818557537328,8768.185575373282,12817.500279155971,150.18575152037732,3899.1289522623124,6235.134379749672,6211.117472634525,4153.873227539463,3712.4842677177476,7866.357495257212,320.79882790238787,5006.1917173459115,7.798257904524625,56,7.0,9.510251385788898,7.017663540038139,7.419040635709723,7.011430719223607,0.17821066911058475,0.9813669550539836,2.501071656097186,,,,,,,,,7.0,7.0
