episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage1_ch4_m3,total_stage2_ch4_m3,total_total_ch4_m3,total_chemical_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH,update_policy_loss,update_value_loss,update_entropy,update_approx_kl
0,56,56,5.03495454788208,6.494701147079468,66.1270045208428,6612.70045208428,8384.965232672392,236.749,1535.5157805881126,5348.199172564096,5307.724284020198,5068.754286679754,3316.2109459926382,8384.965232672392,78.46249999999999,1183.745,3.071031561176225,5.074746958873713,6.873365979119416,6.430022587752404,7.499330769521559,,,,
1,56,112,5.059916019439697,11.970701694488525,24.21356767954442,2421.3567679544412,7232.344654620616,304.17949999999996,4506.808386666175,5111.203874083372,4813.404670334523,5482.404977482674,1749.9396771379415,7232.344654620616,85.4,1520.8975,9.013616773332348,5.151979097533992,10.778554253800808,6.529839759693426,8.657614461474086,,,,
2,56,168,5.101334095001221,17.552917957305908,52.546164148993576,5254.616414899358,7612.628670607373,247.30200000000002,2110.7102557080166,5374.082083871525,5281.703656281861,5041.284408071434,2571.34426253594,7612.628670607373,73.88749999999999,1236.5099999999998,4.221420511416033,5.063144658171944,8.89532846878139,6.435945085485744,7.810333894974008,,,,
3,56,224,5.033234119415283,22.990325689315796,60.152701044413625,6015.2701044413625,8511.685895910723,218.909,2277.5067914693595,5131.496374685243,5044.377380492424,5419.77524818625,3091.9106477244713,8511.685895910723,68.25,1094.545,4.555013582938719,5.142934007939183,8.000898867399544,6.510425582482635,7.950214768661014,-0.016989054158329964,145.42425537109375,3.2120883464813232,0.0011959392577409744
4,56,280,5.2304487228393555,28.7196786403656,38.884283757962244,3888.4283757962244,7506.659257413902,258.297,3359.933881617677,5186.07028682198,4984.870455743283,5414.046063287433,2092.6131941264694,7506.659257413902,74.1,1291.4850000000001,6.719867763235354,5.156334486962095,9.519934404510296,6.5355615533769145,8.161088877482522,,,,
5,56,336,5.24387788772583,34.5133593082428,33.27841161498432,3327.8411614984316,7871.6392875135325,239.65750000000003,4304.140626015101,5036.446269594149,4718.238037758293,5588.451462694824,2283.1878248187086,7871.6392875135325,71.975,1198.2875000000001,8.608281252030203,5.22119745771189,8.441910917826132,6.549479567335701,8.64377734972852,,,,
6,56,392,5.291993618011475,40.35317325592041,22.09394154312598,2209.394154312598,7371.124908025464,275.8395,4885.891253712867,5112.622390492598,4773.899821783792,5554.564173965179,1816.5607340602846,7371.124908025464,76.5125,1379.1975,9.771782507425733,5.20088152831474,9.94691615571691,6.565626086869983,8.813077155204077,,,,
7,56,448,5.431673765182495,46.290595293045044,-33.20498605188887,-3320.4986051888873,6862.851155873475,290.37300000000005,9892.976761062362,5275.809389210097,4843.287662995821,5303.889398329487,1558.9617575439872,6862.851155873475,72.35,1451.865,19.785953522124725,5.124549800630547,12.48009737442047,6.520066337040727,10.286569688372095,-0.20127178728580475,75.6426773071289,3.2090065479278564,0.0007736142724752426
8,56,504,5.340015649795532,52.2064471244812,47.838539106483125,4783.853910648312,7363.711076123315,258.5635,2321.293665475003,5379.522612587991,5267.980382996642,5027.814395485024,2335.896680638291,7363.711076123315,78.82499999999999,1292.8175,4.642587330950006,5.087064372156571,8.955196346787407,6.418462225532151,7.8052753346935395,,,,
9,56,560,5.223276376724243,58.12765073776245,24.51458806055814,2451.4588060558144,7232.960915018237,274.004,4507.498108962423,5319.724491006436,4973.111252696475,5170.027735704514,2062.933179313723,7232.960915018237,81.04999999999998,1370.02,9.014996217924846,5.129930180407847,8.799007179420595,6.467602338480555,8.729500122476493,,,,
10,56,616,5.370478391647339,64.24002528190613,37.40293801326432,3740.293801326431,7428.525766235119,269.6295,3418.6024649086876,5324.102721562733,5156.942177190462,5245.700505206324,2182.8252610287946,7428.525766235119,77.46249999999999,1348.1475,6.837204929817375,5.128614987799115,9.32664645095287,6.5182065282394825,8.33512324019554,,,,
11,56,672,6.6452226638793945,71.60441470146179,40.327801152771485,4032.7801152771485,7593.00772977528,240.9975,3319.23011449813,5225.235808818157,5032.454239106697,5332.204024324206,2260.8037054510737,7593.00772977528,70.325,1204.9875,6.63846022899626,5.123074453190513,8.919173573041355,6.514071170686163,8.341904020575802,-0.04864935949444771,83.5849380493164,3.204827070236206,0.0013147717108950019
12,56,728,5.18091344833374,77.3361165523529,12.151423862589022,1215.1423862589022,7219.743158669669,249.0345,5755.566272410768,5128.615245810425,4677.38205244802,5561.321786421077,1658.421372248592,7219.743158669669,69.85,1245.1725000000001,11.511132544821535,5.202214226097113,9.239824129504948,6.581468329805984,9.07203166207878,,,,
13,56,784,5.3804566860198975,83.47793817520142,30.268902845801282,3026.8902845801276,7227.965471131525,312.5325,3888.5426865513973,5260.719387384319,5025.255618033082,5251.805691722417,1976.1597794091092,7227.965471131525,89.975,1562.6625,7.7770853731027945,5.134889966961402,9.63164874549836,6.483585152583129,8.480401739007887,,,,
14,56,840,5.626524448394775,89.61597633361816,-36.79875610974688,-3679.8756109746882,6356.165870562907,296.799,9739.242481537594,5452.749707751449,5001.4334526728035,4937.799133111326,1418.3667374515805,6356.165870562907,76.0875,1483.995,19.47848496307519,5.084788446016793,12.394573266205708,6.404140626124387,10.220741119445345,,,,
15,56,896,5.025012731552124,95.17936491966248,67.3668227673316,6736.68227673316,8735.253814497433,202.79700000000003,1795.7745377642732,4984.184605364015,4932.19243249606,5710.212220105484,3025.041594391948,8735.253814497433,64.71249999999999,1013.985,3.591549075528546,5.211428350954249,7.454397109989315,6.598416039816004,7.706869310027985,0.0597979836165905,140.5446014404297,3.198007822036743,0.0009874844690784812
16,56,952,5.242719650268555,101.27703523635864,36.35719723031353,3635.719723031353,7777.680545080322,239.62050000000002,3902.340322048969,5005.4127634530705,4790.29913451738,5777.45544954594,2000.2250955343827,7777.680545080322,67.19999999999999,1198.1025,7.804680644097939,5.267206390342519,9.468706562673823,6.634768351236395,8.427468921462907,,,,
17,56,1008,5.494440317153931,107.47485256195068,18.173434786860472,1817.343478686047,7214.626132812904,230.9355,5166.347154126857,5221.057839047552,4823.52926401382,5350.82340431907,1863.802728493834,7214.626132812904,67.3125,1154.6775,10.332694308253714,5.131337341359899,8.745559226180921,6.517366426767956,8.889873014295755,,,,
18,56,1064,4.917804718017578,113.03521537780762,37.28111355455168,3728.1113554551675,7218.4075309210575,213.436,3276.860175465889,5319.27342620803,5088.212738842286,5103.331307684084,2115.0762232369725,7218.4075309210575,62.8125,1067.18,6.553720350931778,5.0968070668682675,8.842345351113524,6.429669734146276,8.216364427529884,,,,
19,56,1120,5.080391883850098,118.73307991027832,46.27959556309574,4627.959556309574,7778.321600003212,274.86150000000004,2875.500543693638,5253.111194829683,5123.085516057225,5293.018312544822,2485.303287458389,7778.321600003212,76.83749999999999,1374.3075,5.751001087387275,5.1255095353420845,10.574427339171075,6.50450908936981,8.10217300187526,0.1676817685365677,48.51958084106445,3.189215898513794,0.0020542002748697996
20,56,1176,5.185862064361572,124.62086296081543,45.61842138150024,4561.842138150023,8208.47192824856,220.279,3426.350790098536,5234.294264283961,5068.014705010393,5273.427696294384,2935.044231954176,8208.47192824856,66.5375,1101.395,6.852701580197072,5.118405997772551,8.410685594872378,6.48126167838967,8.351617100739071,,,,
21,56,1232,5.20184063911438,130.5973596572876,15.665060990267499,1566.50609902675,7187.779519660006,266.481,5354.792420633257,5106.466899496449,4742.068946981265,5510.600562447122,1677.1789572128841,7187.779519660006,72.46249999999999,1332.4049999999997,10.709584841266514,5.141792750921932,11.091814805447159,6.555187921954324,8.944994117117947,,,,
22,56,1288,5.586937427520752,136.82520008087158,57.681578206577356,5768.157820657736,7981.506217969512,219.923,1993.4253973117757,5135.83593871867,5057.949371789219,5490.043601328995,2491.4626166405174,7981.506217969512,66.13749999999999,1099.615,3.9868507946235514,5.17734564240028,8.788628290208765,6.552583655304734,7.692290894585769,,,,
23,56,1344,5.9238598346710205,143.73339891433716,45.32741066003929,4532.741066003929,7875.658090589215,252.89000000000001,3090.027024585286,5162.208842487543,4947.564113833749,5387.23934427907,2488.4187463101453,7875.658090589215,78.80000000000001,1264.45,6.180054049170572,5.124588858118314,7.975307020518883,6.508234705303694,8.194704739153112,0.034746814519166946,85.34524536132812,3.1703741550445557,0.002822649898007512
24,56,1400,5.159549713134766,149.87319540977478,48.18836436069997,4818.836436069998,7651.607601806672,236.85450000000003,2595.916665736675,5202.890004851435,5069.344859972549,5430.128222015554,2221.479379791119,7651.607601806672,71.25,1184.2725,5.191833331473349,5.1664992819734,8.830971486835146,6.552426217794197,7.88152279517694,,,,
25,56,1456,5.279688835144043,156.09243631362915,52.14281266271665,5214.281266271665,7796.9522144261055,228.8985,2353.772448154441,5056.517636337484,4949.916264686089,5517.198762421546,2279.753452004559,7796.9522144261055,67.27499999999999,1144.4925,4.707544896308882,5.162989765336572,9.120066890900816,6.516988876133027,7.7400941719674625,,,,
26,56,1512,5.203903913497925,162.01964139938354,20.98073957178037,2098.073957178037,7121.621649120781,273.939,4749.6086919427435,5257.537257935453,4890.739458387356,5220.53774722024,1901.0839019005412,7121.621649120781,82.61249999999998,1369.695,9.499217383885487,5.091222177616591,8.50576414314281,6.470977104259124,8.785603517962283,,,,
