policy,fixed_action,action,stage1_signed_m3_d,stage2_signed_m3_d,stage1_q_NaOH_m3_d,stage1_q_HCl_m3_d,stage2_q_NaOH_m3_d,stage2_q_HCl_m3_d,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage1_ch4_m3,total_stage2_ch4_m3,total_total_ch4_m3,total_chemical_m3,total_chemical_kmol,total_ph_violation_pH_d,steps,final_time_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH,mean_stage1_acid_yield,mean_stage2_vfa_conversion,mean_stage2_ch4_per_vfa_in
fixed_open_loop_action,0,0.0,-0.6,-20.0,0.0,0.6,0.0,20.0,-113.04533164128603,-11304.533164128603,5072.597266428429,325.89200000000005,16051.23843055703,5605.586780138698,5121.047222518044,4082.7665167606647,989.8307496677646,5072.597266428429,144.2,1629.46,32.102476861114056,56,7.0,4.843601218498775,0.630782981705362,6.060374302040714,2.3370303468354634,0.16021713567079085,0.920918007351552,2.1664246111474434
fixed_open_loop_action,1,1.0,-0.6,-5.0,0.0,0.6,0.0,5.0,54.0629834893664,5406.29834893664,7181.900842018133,88.592,1687.0104930814923,5605.586780138698,5526.299225241464,4082.7665167606647,3099.134325257468,7181.900842018133,39.2,442.9599999999999,3.374020986162985,56,7.0,4.843601218498775,5.074083973078536,6.060374302040714,6.542012522060852,0.16021713567079085,0.9750939324800793,2.357495166167297
fixed_open_loop_action,2,2.0,-0.6,0.0,0.0,0.6,0.0,0.0,67.15366087603749,6715.36608760375,7618.47047609557,9.491999999999999,893.6123884918204,5605.586780138698,5573.021911891053,4082.7665167606647,3535.7039593349054,7618.47047609557,4.199999999999999,47.46,1.7872247769836407,56,7.0,4.843601218498775,7.347730496720972,6.060374302040714,7.352646548885935,0.16021713567079085,0.9784085654246167,2.1903129728491733
fixed_open_loop_action,3,3.0,-0.6,5.0,0.0,0.6,5.0,0.0,-42.28898258199392,-4228.898258199391,5636.554092441067,184.492,9680.96035064046,5605.586780138698,5144.766468074759,4082.7665167606647,1553.7875756804024,5636.554092441067,39.2,922.4599999999999,19.36192070128092,56,7.0,4.843601218498775,12.487046442219961,6.060374302040714,10.337368896527384,0.16021713567079085,0.9188970100251781,1.6625730014285
fixed_open_loop_action,4,4.0,-0.6,20.0,0.0,0.6,20.0,0.0,-127.00952624844385,-12700.952624844384,5387.047771631525,709.4920000000001,17378.50839647591,5605.586780138698,4981.31626791335,4082.7665167606647,1304.2812548708612,5387.047771631525,144.2,3547.4600000000005,34.75701679295182,56,7.0,4.843601218498775,13.456294588551268,6.060374302040714,12.555088857552638,0.16021713567079085,0.8727686732859666,1.0917177611374516
fixed_open_loop_action,5,5.0,-0.2,-20.0,0.0,0.2,0.0,20.0,-106.75766397593586,-10675.766397593585,5886.508909542159,319.564,16242.711307135745,5311.225082111412,4839.952265003812,4893.686945580587,992.8219639615724,5886.508909542159,141.39999999999998,1597.8200000000002,32.48542261427149,56,7.0,5.018299212587244,0.6357015132805525,6.331172772631487,2.3450670211693847,0.151803781287228,0.9182775763265455,2.156757850330428
fixed_open_loop_action,6,6.0,-0.2,-5.0,0.0,0.2,0.0,5.0,61.418613311639604,6141.86133116396,7985.471450346144,82.26400000000001,1761.3461191821837,5311.225082111412,5250.441394631213,4893.686945580587,3091.7845047655564,7985.471450346144,36.400000000000006,411.32,3.522692238364367,56,7.0,5.018299212587244,5.547007657578959,6.331172772631487,6.586979981366069,0.151803781287228,0.9765622223617277,2.354843255005551
fixed_open_loop_action,7,7.0,-0.2,0.0,0.0,0.2,0.0,0.0,71.17843261350461,7117.843261350461,8228.901733023926,3.1640000000000006,1107.8944716734661,5311.225082111412,5280.37680002726,4893.686945580587,3335.214787443339,8228.901733023926,1.4,15.820000000000007,2.2157889433469324,56,7.0,5.018299212587244,7.408353189290767,6.331172772631487,7.3731976421941665,0.151803781287228,0.9785014565695869,2.1750726738059556
fixed_open_loop_action,8,8.0,-0.2,5.0,0.0,0.2,5.0,0.0,-37.135988364901,-3713.5988364901,6390.140443985345,178.164,9925.575280475445,5311.225082111412,4867.589820421589,4893.686945580587,1496.4534984047575,6390.140443985345,36.400000000000006,890.8199999999999,19.85115056095089,56,7.0,5.018299212587244,12.504234369397716,6.331172772631487,10.346181205148513,0.151803781287228,0.9170473166529332,1.6535661958319163
fixed_open_loop_action,9,9.0,-0.2,20.0,0.0,0.2,20.0,0.0,-121.60436685064778,-12160.436685064778,6137.856070576572,703.164,17595.12875564135,5311.225082111412,4702.446514146976,4893.686945580587,1244.1691249959845,6137.856070576572,141.39999999999998,3515.8200000000006,35.1902575112827,56,7.0,5.018299212587244,13.458172369509606,6.331172772631487,12.555762481330751,0.151803781287228,0.8707470072198966,1.084824015116661
fixed_open_loop_action,10,10.0,0.0,-20.0,0.0,0.0,0.0,20.0,-103.67221496983538,-10367.221496983537,6317.941680121406,316.4,16368.763177104942,5181.967757163942,4712.526729983429,5323.8325905646725,994.1090895567328,6317.941680121406,140.0,1582.0,32.73752635420988,56,7.0,5.120241278981284,0.6382139404839844,6.48491776195881,2.3488030689724533,0.14810938867860265,0.9164275552373345,2.1518703792189853
fixed_open_loop_action,11,11.0,0.0,-5.0,0.0,0.0,0.0,5.0,65.1162042737097,6511.62042737097,8432.3651837281,79.1,1841.6447563571296,5181.967757163942,5129.417725693023,5323.8325905646725,3108.5325931634266,8432.3651837281,35.0,395.5,3.683289512714259,56,7.0,5.120241278981284,5.7203688233774415,6.48491776195881,6.605354943072039,0.14810938867860265,0.9772422028523631,2.354398320443186
fixed_open_loop_action,12,12.0,0.0,0.0,0.0,0.0,0.0,0.0,73.37063677088236,7337.063677088236,8582.519476610138,0.0,1245.4557995218997,5181.967757163942,5151.616354275671,5323.8325905646725,3258.6868860454642,8582.519476610138,0.0,0.0,2.4909115990437996,56,7.0,5.120241278981284,7.44318877409144,6.48491776195881,7.382720076546688,0.14810938867860265,0.9785188728620992,2.168278502651114
fixed_open_loop_action,13,13.0,0.0,5.0,0.0,0.0,5.0,0.0,-34.40028112247229,-3440.028112247229,6808.657304744899,175.0,10073.685416992128,5181.967757163942,4741.740183253201,5323.8325905646725,1484.8247141802271,6808.657304744899,35.0,875.0,20.147370833984258,56,7.0,5.120241278981284,12.512067363483354,6.48491776195881,10.349262251151274,0.14810938867860265,0.9155583750066038,1.6500041691216005
fixed_open_loop_action,14,14.0,0.0,20.0,0.0,0.0,20.0,0.0,-118.7906915271446,-11879.06915271446,6554.554627418753,700.0,17733.623780133214,5181.967757163942,4575.634512877763,5323.8325905646725,1230.7220368540811,6554.554627418753,140.0,3500.0,35.46724756026643,56,7.0,5.120241278981284,13.459050130467256,6.48491776195881,12.556031248298817,0.14810938867860265,0.8693059953166549,1.0822117333791739
