episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage2_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH
15,56,896,4.862290382385254,85.05928039550781,63.85894452813565,6385.894452813565,8485.050096648712,302.7914999999999,1796.3641438351465,5274.056399939858,5231.547413382405,3251.342823332777,1513.9575,3.592728287670293,5.117995665295534,6.635614958025826,6.482674022114616,7.44859534774208
16,56,952,4.596513271331787,90.19894742965698,-29.778916374607018,-2977.891637460702,7378.975198120427,233.42999999999998,10123.43683558113,4946.133928529414,4677.736680312662,1603.30602708083,1167.15,20.24687367116226,5.2380513544006755,1.6170778253679878,6.601587867501792,4.211287907685304
17,56,1008,4.724010705947876,95.56480407714844,61.74086080742527,6174.086080742527,8078.08143938373,278.1195,1625.875858641203,5254.698761947815,5214.0612196705915,2944.927304039248,1390.5974999999999,3.251751717282406,5.060079213603121,4.754273030863261,6.427430122379497,7.0225173206571725
18,56,1064,4.673570871353149,100.71841883659363,66.22169475700917,6622.169475700917,8477.677648293298,301.727,1553.7811725923798,5121.8066436721765,5089.422577829972,3010.0761633697375,1508.6349999999998,3.107562345184759,5.166511784874426,5.539752765906532,6.528331010365534,6.919875450248058
19,56,1120,4.7018866539001465,105.94651079177856,30.44229705523016,3044.2297055230156,8128.844630287493,243.48249999999996,4841.132424764479,5093.182148656436,4865.316819794913,2517.4115534106177,1217.4125,9.682264849528956,5.172958088626157,5.075087244319674,6.598143670352583,5.723456789935843
20,56,1176,4.785572528839111,111.27613592147827,42.31457074819148,4231.457074819147,7980.152697910719,234.18349999999995,3514.512123091572,5429.613969644897,5280.978247042457,3197.6957795306525,1170.9175,7.029024246183144,5.0188034922224976,7.741786375763043,6.33505280311172,6.355736148054985
21,56,1232,4.686618089675903,116.5791563987732,42.55108657112746,4255.108657112745,7301.086259459789,215.6345,2830.3431023470434,5233.791232211754,5030.225752553312,2100.60163367446,1078.1725,5.660686204694088,5.062949461992096,5.6873084010356685,6.463927255743678,6.354253404881869
22,56,1288,4.667691946029663,121.7578558921814,65.57447088338836,6557.447088338837,8081.325516844408,248.61149999999998,1275.2669285055713,5311.620792072333,5281.868146049346,3117.888100304511,1243.0575,2.5505338570111427,5.047787215614944,6.9929783844711135,6.368655734575823,7.035630971431853
23,56,1344,4.584520578384399,126.9509494304657,72.37391370007131,7237.391370007132,8758.517446510923,188.66400000000002,1332.4620765037926,5039.187990362689,5013.576628655688,3168.6833806358723,943.3199999999999,2.6649241530075853,5.1714321453677154,6.9223761793775465,6.547864305745946,7.009033727440282
24,56,1400,4.762883186340332,132.2909767627716,67.93555305730581,6793.555305730581,8222.219410840695,144.1415,1284.5226051101147,5360.95305061975,5329.993689685567,3221.0447398486685,720.7075,2.5690452102202292,5.095503695686495,6.8730529697347045,6.375615900591394,7.032597559853985
25,56,1456,4.619031667709351,137.62165331840515,68.83946767702412,6883.946767702413,8315.941362328515,234.05150000000003,1197.9430946261004,5389.918418190803,5362.366339380591,3317.10516550416,1170.2575000000002,2.3958861892522005,5.10203045119975,6.765611406917291,6.3736628262194,7.041504509320587
26,56,1512,4.64983868598938,142.90581488609314,74.60085335417749,7460.085335417748,9150.956671947399,128.974,1561.897336529651,4973.580839478427,4944.703466028992,3154.818316256869,644.8699999999999,3.123794673059302,5.50189652144819,7.2983148840782155,6.74010300874393,7.124605088576857
27,56,1568,4.51957631111145,148.0352680683136,62.25493885382474,6225.493885382475,8878.775361227377,134.8585,2518.422975844901,4984.211817223515,4922.137135350333,3034.2017846334597,674.2925,5.036845951689802,5.427939518819992,6.941021480086792,6.669507680664113,6.394002609931663
28,56,1624,4.6049394607543945,153.25859451293945,72.8699522197195,7286.995221971949,8786.677141021995,185.19100000000003,1314.4909190500452,4986.157300551873,4964.145115102821,3036.9751866850347,925.9549999999999,2.6289818381000902,5.326083887391216,7.313577817040725,6.609782809141996,7.003693869049876
29,56,1680,4.705435514450073,158.73051238059998,72.20346041171095,7220.346041171096,9306.23795919087,117.81050000000002,1968.0814180197742,4882.242375504932,4844.067710590843,2985.719020092938,589.0525,3.9361628360395486,5.926397632934884,7.571128895660139,6.80502660761078,6.896739056753305
30,56,1736,4.635074138641357,164.34999060630798,73.56359330940504,7356.359330940504,9007.352629630648,85.1695,1565.8237986901463,5190.515866434853,5169.505556981146,3317.11142062622,425.8475,3.1316475973802924,5.316956240884626,6.817553212427394,6.693921171868941,6.88475972791653
31,56,1792,4.660106420516968,169.88432049751282,59.42706194896375,5942.706194896375,8766.132716152006,128.644,2694.7825212556327,4966.924141540821,4883.2367791662155,2872.8279489539154,643.22,5.389565042511265,5.430487791599452,5.940158868557204,6.678429459196429,6.340092786304526
32,56,1848,4.524591684341431,175.061674118042,73.10114971222953,7310.114971222953,9546.769168145414,156.519,2080.1351969224634,4849.309841828505,4814.65661659563,3118.038211410252,782.595,4.160270393844926,6.0858874608567675,6.451929181244885,6.83961187609984,6.6012921277493115
33,56,1904,4.700551271438599,180.42332005500793,66.95318677227925,6695.318677227926,9035.433366723431,130.15800000000002,2209.956689495505,5136.871260965108,5105.203357581016,3245.852584437843,650.79,4.419913378991011,5.479470632372844,6.235563547723567,6.725543786319499,6.5133623542714645
34,56,1960,4.542073011398315,185.68857145309448,71.92262237496597,7192.262237496598,8377.031546128981,72.358,1112.4113086323846,5363.496696584514,5341.192441574762,3419.309097049602,361.79,2.2248226172647687,5.142686318461743,6.6728677080741825,6.343625563277594,6.822631303705974
35,56,2016,4.625125169754028,191.3420078754425,65.86348806819657,6586.348806819658,8725.35477571302,128.208,2010.7979688933615,5337.885428299185,5305.851231351389,3326.205611715275,641.04,4.0215959377867225,5.21981602774777,6.50430154056116,6.592910835040601,6.534086294577849
