episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage2_ch4_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH
0,56,56,5.258110761642456,7.024931907653809,-25.38865953825092,-2538.865953825092,7056.327741763824,271.4615,9323.732195588915,5039.56886171681,4587.753196770936,1471.4618582696721,1357.3075,18.64746439117783,5.142316428461632,12.386381144485064,6.552189189734917,10.125911006048094
1,56,112,6.4661781787872314,13.885718822479248,57.50402277118234,5750.4022771182335,7854.655647805543,179.62,1924.6333706873081,5326.161752680529,5237.34949267592,2833.248962863702,898.0999999999999,3.849266741374616,5.084428978050918,7.9721162087673125,6.396851858813947,7.82781822951024
2,56,168,5.532296657562256,19.81056809425354,26.144177281498614,2614.4177281498614,7290.701889352036,197.41150000000002,4478.872661202175,5070.567057196167,4751.574258455445,1765.6052652626065,987.0575000000001,8.95774532240435,5.168652015533292,9.008293702100909,6.531504126888913,8.640325689607753
3,56,224,6.164936780929565,26.307573795318604,55.30709999544639,5530.70999954464,8695.061848932142,273.13599999999997,2891.2158493875036,5054.353430240088,4896.013911318375,3088.3866583098525,1365.68,5.782431698775007,5.242150181706768,7.666236492744926,6.565509888728002,8.212393544729453
4,56,280,6.485481262207031,33.29987168312073,12.884748435302555,1288.4748435302554,7277.981281950402,287.07750000000004,5702.4289384201475,5105.258604797451,4773.116219114267,1640.328962241834,1435.3874999999998,11.404857876840294,5.1941537760484255,9.495355932094531,6.608811674826854,8.889969463688542
5,56,336,5.557373046875,39.344630002975464,52.07639878943529,5207.639878943528,8553.425589290982,225.0505,3120.735210347455,4944.600506521505,4814.753242393072,2638.934983813636,1125.2525,6.24147042069491,5.346698354642574,8.166088504982627,6.671037906616934,8.235389354415117
6,56,392,5.4658427238464355,45.32293510437012,30.791827019409467,3079.1827019409466,7875.073697080083,253.1525,4542.738495139136,5083.315227676014,4742.706103126558,2379.1288227226887,1265.7624999999998,9.085476990278273,5.147345246217218,8.041085173270536,6.538081682263377,8.68805740154683
7,56,448,5.605800628662109,51.41980767250061,57.30705110737435,5730.705110737435,8012.936553499305,238.27900000000002,2043.9524427618703,5197.960195474588,5099.6814678454975,2736.5536028405686,1191.395,4.0879048855237405,5.179133128628164,8.522696667498511,6.454197107254445,7.764922494750721
8,56,504,5.913836717605591,57.81154823303223,27.528720327105148,2752.8720327105148,7063.217133291026,298.82450000000006,4011.520600580511,5381.767781439513,5082.755746576071,1971.6666597213837,1494.1225,8.023041201161023,5.08820093302211,8.609675293174256,6.462455080060067,8.508443132799242
9,56,560,5.50896954536438,63.837488651275635,56.480725333752986,5648.072533375298,7870.101564343574,308.71400000000006,1913.3150309682756,5344.8770913759545,5267.487830439045,2614.210812226079,1543.5700000000002,3.8266300619365516,5.201187061165397,8.54965380235943,6.5204615404557815,7.634946103255596
10,56,616,5.400522232055664,69.75971245765686,57.69609213104698,5769.609213104698,7973.245125537951,266.3945,1937.2414124332531,5274.818898307754,5186.519911260255,2680.033192437404,1331.9724999999999,3.874482824866506,5.171027463710773,7.858908729123618,6.514196755721096,7.686555115513258
11,56,672,5.428685426712036,75.9269814491272,59.7590962932244,5975.909629322441,8025.692371403839,278.0105,1771.7722420813986,5230.279824439314,5169.3043140363125,2792.867305950179,1390.0525,3.5435444841627968,5.097975261193821,8.096226703977365,6.4651086187357025,7.7715468092336
12,56,728,5.1643288135528564,81.55229568481445,30.40857267161533,3040.857267161533,7497.800176335328,365.68399999999997,4091.2589091737955,5213.677537945844,4987.496698107365,2173.866700908947,1828.4199999999998,8.18251781834759,5.1431042378605385,9.929056865084828,6.503935095132216,8.593475313698713
13,56,784,5.472346067428589,87.52221965789795,65.96676503516083,6596.676503516082,8737.280899176778,291.327,1849.2773956606952,4987.706515820722,4957.535195133672,2976.2853852644553,1456.6349999999998,3.6985547913213903,5.299172322139639,6.152329391350192,6.613785638858491,6.642083836475133
