update_index,episode_end,batch_episodes,batch_steps,entropy_coef,policy_loss,value_loss,entropy,approx_kl
0,3,4,224,0.01955,-0.016989054158329964,145.42425537109375,3.2120883464813232,0.0011959392577409744
1,7,4,224,0.01895,-0.20127178728580475,75.6426773071289,3.2090065479278564,0.0007736142724752426
2,11,4,224,0.01835,-0.04864935949444771,83.5849380493164,3.204827070236206,0.0013147717108950019
3,15,4,224,0.017750000000000002,0.0597979836165905,140.5446014404297,3.198007822036743,0.0009874844690784812
4,19,4,224,0.01715,0.1676817685365677,48.51958084106445,3.189215898513794,0.0020542002748697996
5,23,4,224,0.016550000000000002,0.034746814519166946,85.34524536132812,3.1703741550445557,0.002822649898007512
6,27,4,224,0.01595,-0.11623556166887283,106.7182388305664,3.1441328525543213,0.002705644816160202
7,31,4,224,0.01535,0.031130099669098854,141.25120544433594,3.112009286880493,0.0029845561366528273
8,35,4,224,0.014750000000000001,0.04039623215794563,135.7742462158203,3.0774879455566406,0.0025705378502607346
9,39,4,224,0.01415,-0.05082274600863457,170.2821502685547,3.045786142349243,0.0013500662753358483
10,43,4,224,0.01355,0.14697568118572235,130.23321533203125,3.0218989849090576,0.001713233650662005
11,47,4,224,0.012950000000000001,0.037869516760110855,219.7222137451172,2.997938394546509,0.001146394177339971
12,51,4,224,0.01235,0.10872844606637955,150.0747833251953,2.9744529724121094,0.0019229855388402939
13,55,4,224,0.01175,-0.1625843197107315,132.63058471679688,2.933429479598999,0.004515995737165213
14,59,4,224,0.011150000000000002,-0.17096209526062012,133.89967346191406,2.8731071949005127,0.00442992290481925
15,63,4,224,0.01055,-0.07878925651311874,159.68406677246094,2.8191421031951904,0.006692696362733841
16,67,4,224,0.00995,-0.11082560569047928,201.09974670410156,2.823904037475586,0.012266188859939575
17,71,4,224,0.00935,0.08069514483213425,179.6576385498047,2.8216259479522705,0.006457047536969185
18,75,4,224,0.00875,-0.035062626004219055,152.3855743408203,2.8437821865081787,0.0026145167648792267
19,79,4,224,0.008150000000000001,-0.06490415334701538,180.9361114501953,2.8526010513305664,0.0038431782741099596
20,83,4,224,0.007550000000000001,-0.06911423057317734,149.41307067871094,2.846626043319702,0.0010747592896223068
21,87,4,224,0.006950000000000001,0.036184776574373245,149.97303771972656,2.833224296569824,0.0013855695724487305
22,91,4,224,0.00635,0.08426343649625778,160.2977752685547,2.8240175247192383,0.0017651449888944626
23,95,4,224,0.005750000000000002,0.02426259033381939,156.27630615234375,2.788360834121704,0.001315538422204554
24,99,4,224,0.005150000000000002,-0.0453675240278244,106.66778564453125,2.7582833766937256,0.0013814009726047516
