episode,steps,global_step_end,episode_time_s,elapsed_run_time_s,total_reward,total_reward_raw,total_reward_benefit,total_reward_chemical_cost,total_reward_ph_cost,total_stage1_vfa_produced_kgCOD,total_stage2_vfa_removed_kgCOD,total_stage1_ch4_m3,total_stage2_ch4_m3,total_total_ch4_m3,total_chemical_m3,total_chemical_kmol,total_ph_violation_pH_d,final_stage1_pH,final_stage2_pH,mean_stage1_pH,mean_stage2_pH,update_policy_loss,update_value_loss,update_entropy,update_approx_kl
10,56,616,6.615266561508179,70.53723192214966,37.40293801326432,3740.293801326431,7428.525766235119,269.6295,3418.6024649086876,5324.102721562733,5156.942177190462,5245.700505206324,2182.8252610287946,7428.525766235119,77.46249999999999,1348.1475,6.837204929817375,5.128614987799115,9.32664645095287,6.5182065282394825,8.33512324019554,,,,
11,56,672,5.854734659194946,77.1118335723877,40.327801152771485,4032.7801152771485,7593.00772977528,240.9975,3319.23011449813,5225.235808818157,5032.454239106697,5332.204024324206,2260.8037054510737,7593.00772977528,70.325,1204.9875,6.63846022899626,5.123074453190513,8.919173573041355,6.514071170686163,8.341904020575802,-0.04864935949444771,83.5849380493164,3.204827070236206,0.0013147717108950019
12,56,728,5.510834693908691,83.16411805152893,12.151423862589022,1215.1423862589022,7219.743158669669,249.0345,5755.566272410768,5128.615245810425,4677.38205244802,5561.321786421077,1658.421372248592,7219.743158669669,69.85,1245.1725000000001,11.511132544821535,5.202214226097113,9.239824129504948,6.581468329805984,9.07203166207878,,,,
13,56,784,5.521529912948608,89.2116482257843,30.268902845801282,3026.8902845801276,7227.965471131525,312.5325,3888.5426865513973,5260.719387384319,5025.255618033082,5251.805691722417,1976.1597794091092,7227.965471131525,89.975,1562.6625,7.7770853731027945,5.134889966961402,9.63164874549836,6.483585152583129,8.480401739007887,,,,
14,56,840,5.932781457901001,95.77043628692627,-36.79875610974688,-3679.8756109746882,6356.165870562907,296.799,9739.242481537594,5452.749707751449,5001.4334526728035,4937.799133111326,1418.3667374515805,6356.165870562907,76.0875,1483.995,19.47848496307519,5.084788446016793,12.394573266205708,6.404140626124387,10.220741119445345,,,,
15,56,896,5.487608194351196,101.84956407546997,67.3668227673316,6736.68227673316,8735.253814497433,202.79700000000003,1795.7745377642732,4984.184605364015,4932.19243249606,5710.212220105484,3025.041594391948,8735.253814497433,64.71249999999999,1013.985,3.591549075528546,5.211428350954249,7.454397109989315,6.598416039816004,7.706869310027985,0.0597979836165905,140.5446014404297,3.198007822036743,0.0009874844690784812
16,56,952,5.580144882202148,108.08656167984009,36.35719723031353,3635.719723031353,7777.680545080322,239.62050000000002,3902.340322048969,5005.4127634530705,4790.29913451738,5777.45544954594,2000.2250955343827,7777.680545080322,67.19999999999999,1198.1025,7.804680644097939,5.267206390342519,9.468706562673823,6.634768351236395,8.427468921462907,,,,
17,56,1008,5.394748210906982,114.10886359214783,18.173434786860472,1817.343478686047,7214.626132812904,230.9355,5166.347154126857,5221.057839047552,4823.52926401382,5350.82340431907,1863.802728493834,7214.626132812904,67.3125,1154.6775,10.332694308253714,5.131337341359899,8.745559226180921,6.517366426767956,8.889873014295755,,,,
18,56,1064,5.56412672996521,120.36004042625427,37.28111355455168,3728.1113554551675,7218.4075309210575,213.436,3276.860175465889,5319.27342620803,5088.212738842286,5103.331307684084,2115.0762232369725,7218.4075309210575,62.8125,1067.18,6.553720350931778,5.0968070668682675,8.842345351113524,6.429669734146276,8.216364427529884,,,,
19,56,1120,5.630981683731079,126.75628876686096,46.27959556309574,4627.959556309574,7778.321600003212,274.86150000000004,2875.500543693638,5253.111194829683,5123.085516057225,5293.018312544822,2485.303287458389,7778.321600003212,76.83749999999999,1374.3075,5.751001087387275,5.1255095353420845,10.574427339171075,6.50450908936981,8.10217300187526,0.1676817685365677,48.51958084106445,3.189215898513794,0.0020542002748697996
20,56,1176,5.343327760696411,132.772390127182,45.61842138150024,4561.842138150023,8208.47192824856,220.279,3426.350790098536,5234.294264283961,5068.014705010393,5273.427696294384,2935.044231954176,8208.47192824856,66.5375,1101.395,6.852701580197072,5.118405997772551,8.410685594872378,6.48126167838967,8.351617100739071,,,,
21,56,1232,5.452777862548828,138.90899777412415,15.665060990267499,1566.50609902675,7187.779519660006,266.481,5354.792420633257,5106.466899496449,4742.068946981265,5510.600562447122,1677.1789572128841,7187.779519660006,72.46249999999999,1332.4049999999997,10.709584841266514,5.141792750921932,11.091814805447159,6.555187921954324,8.944994117117947,,,,
22,56,1288,5.36115026473999,144.95609545707703,57.681578206577356,5768.157820657736,7981.506217969512,219.923,1993.4253973117757,5135.83593871867,5057.949371789219,5490.043601328995,2491.4626166405174,7981.506217969512,66.13749999999999,1099.615,3.9868507946235514,5.17734564240028,8.788628290208765,6.552583655304734,7.692290894585769,,,,
23,56,1344,5.1074934005737305,150.87561988830566,45.32741066003929,4532.741066003929,7875.658090589215,252.89000000000001,3090.027024585286,5162.208842487543,4947.564113833749,5387.23934427907,2488.4187463101453,7875.658090589215,78.80000000000001,1264.45,6.180054049170572,5.124588858118314,7.975307020518883,6.508234705303694,8.194704739153112,0.034746814519166946,85.34524536132812,3.1703741550445557,0.002822649898007512
24,56,1400,5.254580736160278,156.77432918548584,48.18836436069997,4818.836436069998,7651.607601806672,236.85450000000003,2595.916665736675,5202.890004851435,5069.344859972549,5430.128222015554,2221.479379791119,7651.607601806672,71.25,1184.2725,5.191833331473349,5.1664992819734,8.830971486835146,6.552426217794197,7.88152279517694,,,,
25,56,1456,4.962915658950806,162.49366188049316,52.14281266271665,5214.281266271665,7796.9522144261055,228.8985,2353.772448154441,5056.517636337484,4949.916264686089,5517.198762421546,2279.753452004559,7796.9522144261055,67.27499999999999,1144.4925,4.707544896308882,5.162989765336572,9.120066890900816,6.516988876133027,7.7400941719674625,,,,
26,56,1512,5.3079352378845215,168.54962182044983,20.98073957178037,2098.073957178037,7121.621649120781,273.939,4749.6086919427435,5257.537257935453,4890.739458387356,5220.53774722024,1901.0839019005412,7121.621649120781,82.61249999999998,1369.695,9.499217383885487,5.091222177616591,8.50576414314281,6.470977104259124,8.785603517962283,,,,
27,56,1568,4.876075506210327,174.1396884918213,53.369457639089,5336.9457639089,7960.988703735531,221.23649999999998,2402.8064398266306,5261.914438701374,5160.685166262232,5254.186513863995,2706.802189871536,7960.988703735531,66.1125,1106.1825,4.8056128796532604,5.114041974216047,8.635768976101792,6.483031905773875,8.101585178432256,-0.11623556166887283,106.7182388305664,3.1441328525543213,0.002705644816160202
28,56,1624,5.085791826248169,180.04491591453552,53.175193301345686,5317.519330134568,8099.279739781721,224.709,2557.0514096471525,5037.666428405929,4935.335164082917,5713.8463369087,2385.433402873021,8099.279739781721,63.58749999999999,1123.545,5.114102819294305,5.242470145775398,9.444548899512498,6.619198739136424,7.8602732243182505,,,,
29,56,1680,5.488712787628174,186.2789409160614,69.44305121163372,6944.305121163372,8435.478288071587,193.07999999999998,1298.0931669082147,5130.3722978338665,5101.300373381295,5430.311552969284,3005.1667351023007,8435.478288071587,63.54999999999999,965.3999999999999,2.596186333816429,5.137070502148749,7.467707670142404,6.516997008517096,7.26101729274409,,,,
30,56,1736,5.396387577056885,192.47130012512207,34.89209763856279,3489.209763856278,7354.095349859332,280.0555,3584.830086003053,5226.640342478254,5009.943872940774,5294.663181100529,2059.432168758802,7354.095349859332,83.7125,1400.2775,7.169660172006106,5.144081742662324,8.782753524494263,6.486682059971254,8.42369407214238,,,,
31,56,1792,5.3282694816589355,198.6233048439026,61.4371807647735,6143.71807647735,7944.463603481598,218.3905,1582.355027004247,5325.508396401154,5284.05838957652,5149.329257284939,2795.13434619666,7944.463603481598,70.9,1091.9524999999999,3.164710054008494,5.137945694314541,8.433452744303949,6.456749587942239,7.31791574609763,0.031130099669098854,141.25120544433594,3.112009286880493,0.0029845561366528273
32,56,1848,5.223428249359131,204.6765902042389,60.33909777541635,6033.909777541634,8362.929574198459,174.0075,2155.012296656824,5109.682440482244,5025.878498431967,5692.39002904798,2670.5395451504787,8362.929574198459,52.33749999999999,870.0375,4.310024593313648,5.281047395888708,8.407052122645291,6.642792123863243,7.829716859542041,,,,
33,56,1904,5.3844969272613525,210.8905930519104,66.49966603897929,6649.966603897929,8347.210361796137,228.63299999999998,1468.6107578982087,5105.703430941122,5078.0468780853025,5496.63326054616,2850.577101249977,8347.210361796137,77.67499999999998,1143.165,2.937221515796417,5.113884944964089,7.650532929269035,6.544782469037402,7.014439581743853,,,,
34,56,1960,5.2196044921875,216.97375082969666,24.93463547095893,2493.463547095893,6993.197457031683,232.1395,4267.59440993579,5310.684225833093,5015.922792833162,5117.739286688034,1875.4581703436502,6993.197457031683,67.08749999999999,1160.6975,8.535188819871582,5.094534098251496,8.914963868684115,6.4347956057313,8.65988059896784,,,,
35,56,2016,5.346763372421265,223.2822105884552,65.59727433266538,6559.727433266538,8693.758182172562,219.22050000000002,1914.8102489060225,5097.397402491641,5020.709336299688,5630.382348097368,3063.375834075193,8693.758182172562,70.3125,1096.1025,3.829620497812045,5.213492453924188,7.3973713571909405,6.613766539265555,7.665477756468566,0.04039623215794563,135.7742462158203,3.0774879455566406,0.0025705378502607346
36,56,2072,5.1420652866363525,229.23043966293335,65.36354395317726,6536.354395317725,8275.914375392898,220.90050000000002,1518.6594800751745,5326.16994825714,5275.865514614865,5122.507766230675,3153.406609162225,8275.914375392898,71.94999999999999,1104.5025,3.0373189601503485,5.110765375064051,7.166199158719176,6.4390929690649505,7.567660169609517,,,,
37,56,2128,4.8923962116241455,234.9949848651886,71.09603252236639,7109.603252236639,8680.391443034685,188.362,1382.4261907980454,5093.125734309841,5063.0599435139175,5480.492092906978,3199.8993501277064,8680.391443034685,63.675,941.81,2.764852381596091,5.153196695831003,6.940858267638808,6.520971138060781,7.333093521982918,,,,
38,56,2184,4.912518501281738,240.7781057357788,43.50429429852459,4350.429429852459,7798.228245338196,231.224,3216.5748154857365,5085.7898239938,4877.261205525239,5554.880080357708,2243.348164980488,7798.228245338196,72.5625,1156.12,6.4331496309714735,5.197896618874539,8.144240152809951,6.561346199580017,8.091952036618336,,,,
39,56,2240,4.773736953735352,246.40098357200623,71.94474040584605,7194.474040584606,8653.701599108088,156.5485,1302.679058523481,5011.328043304577,4986.935116857629,5619.39698571736,3034.3046133907274,8653.701599108088,54.175,782.7425,2.605358117046962,5.172007759669393,7.27861294655751,6.55507268344551,7.012830789933578,-0.05082274600863457,170.2821502685547,3.045786142349243,0.0013500662753358483
40,56,2296,4.810717344284058,252.08512115478516,71.41197144730458,7141.197144730457,8684.112018243324,189.6245,1353.290373512867,5093.572136381847,5070.026879829201,5474.379341399146,3209.732676844178,8684.112018243324,68.0375,948.1225000000001,2.7065807470257335,5.143372513505245,6.487091664341247,6.522549154697067,6.893461984281961,,,,
41,56,2352,4.96729588508606,258.0156819820404,71.3959272661285,7139.59272661285,8825.174117854422,184.2285,1501.352891241571,5100.984213695604,5076.347745327598,5650.079411746252,3175.09470610817,8825.174117854422,66.14999999999999,921.1424999999999,3.002705782483142,5.1974914246703445,6.476332705830243,6.621549905143616,6.980299940879661,,,,
42,56,2408,4.756080865859985,263.62990403175354,37.825936304384754,3782.593630438476,8173.100813222065,225.3555,4165.151682783589,5238.955093300621,4949.152683448293,5277.032201156213,2896.068612065852,8173.100813222065,68.6625,1126.7775,8.330303365567179,5.116203525775776,8.215466307353138,6.4894438455418495,8.587712034259606,,,,
43,56,2464,5.005421161651611,269.4885790348053,61.25097678099687,6125.097678099688,8244.958880321276,168.175,1951.6862022215876,5411.688990773919,5355.120047254677,5031.457797812134,3213.5010825091417,8244.958880321276,63.77499999999999,840.875,3.903372404443175,5.091585391923595,5.782782318565423,6.434025074872445,6.666016044009605,0.14697568118572235,130.23321533203125,3.0218989849090576,0.001713233650662005
44,56,2520,5.355776786804199,275.92383456230164,68.59662515843539,6859.662515843538,8529.59169446793,209.24149999999997,1460.687678624391,5145.698680982403,5102.388985580396,5491.747988368839,3037.843706099091,8529.59169446793,67.4125,1046.2075,2.921375357248783,5.180243681669463,7.351147504837155,6.553416448322529,7.528540761129567,,,,
45,56,2576,5.639167785644531,282.9615213871002,-0.576596749270708,-57.659674927070625,7637.135929299742,180.622,7514.173604226813,5066.787062188068,4849.196558089764,5706.18063643081,1930.9552928689336,7637.135929299742,71.23749999999998,903.11,15.02834720845363,5.260760515156912,1.6638855682038343,6.625169180643845,5.055099337026467,,,,
46,56,2632,5.439500093460083,289.75214767456055,66.25303082623923,6625.303082623922,8478.848580419026,201.48049999999998,1652.0649977951034,5097.5847829370405,5047.517262442164,5459.816956776147,3019.031623642879,8478.848580419026,67.3125,1007.4025,3.3041299955902064,5.131031517454148,7.29007325160672,6.525380979297678,7.334516133263328,,,,
