target,time,prbs_segment,stage1_pH_sp,stage2_pH_sp,stage1_pH,stage2_pH,stage1_q_NaOH_m3_d,stage1_u_NaOH_kmol_d,stage1_q_HCl_m3_d,stage1_u_HCl_kmol_d,stage2_q_NaOH_m3_d,stage2_u_NaOH_kmol_d,stage2_q_HCl_m3_d,stage2_u_HCl_kmol_d
stage1,0.0,0,7.0,7.0,7.078236896383718,7.261303246469217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stage1,0.010416667,0,7.0,7.0,7.133217102290343,7.261487539717926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stage1,0.020833333,0,7.0,7.0,7.147976511516238,7.261571209780619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stage1,0.03125,0,7.0,7.0,7.153619295900753,7.262037465786157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stage1,0.041666667,0,7.0,7.0,7.156277508114389,7.262727419582293,0.0,0.0,4.412234979387968,49.85825526708404,0.0,0.0,32.42705706045539,366.42574478314594
stage1,0.052083333,0,7.0,7.0,7.142003433982599,7.227074431213394,0.0,0.0,4.412234979387968,49.85825526708404,0.0,0.0,32.42705706045539,366.42574478314594
stage1,0.0625,0,7.0,7.0,7.13036277120593,7.1969703360947115,0.0,0.0,4.412234979387968,49.85825526708404,0.0,0.0,32.42705706045539,366.42574478314594
stage1,0.072916667,0,7.0,7.0,7.119571445604523,7.168884987689851,0.0,0.0,4.412234979387968,49.85825526708404,0.0,0.0,32.42705706045539,366.42574478314594
stage1,0.083333333,0,7.0,7.0,7.109317663665683,7.142491258398317,0.0,0.0,4.412234979387968,49.85825526708404,0.0,0.0,32.42705706045539,366.42574478314594
stage1,0.09375,0,7.0,7.0,7.099524971972194,7.11756012616916,0.0,0.0,2.852192084045951,32.22977054971925,0.0,0.0,14.603473230117139,165.01924750032367
stage1,0.104166667,0,7.0,7.0,7.095700756394041,7.110859253672126,0.0,0.0,2.852192084045951,32.22977054971925,0.0,0.0,14.603473230117139,165.01924750032367
stage1,0.114583333,0,7.0,7.0,7.09111376850089,7.1025554624157605,0.0,0.0,2.852192084045951,32.22977054971925,0.0,0.0,14.603473230117139,165.01924750032367
stage1,0.125,0,7.0,7.0,7.086508081682731,7.094225842379319,0.0,0.0,2.852192084045951,32.22977054971925,0.0,0.0,14.603473230117139,165.01924750032367
stage1,0.135416667,0,7.0,7.0,7.082031687734615,7.08596941575863,0.0,0.0,2.381520852684935,26.91118563533977,0.0,0.0,10.74208663651106,121.38557899257498
stage1,0.145833333,0,7.0,7.0,7.079400011714525,7.081397432671926,0.0,0.0,2.381520852684935,26.91118563533977,0.0,0.0,10.74208663651106,121.38557899257498
stage1,0.15625,0,7.0,7.0,7.076580487718514,7.076430935556618,0.0,0.0,2.381520852684935,26.91118563533977,0.0,0.0,10.74208663651106,121.38557899257498
stage1,0.166666667,0,7.0,7.0,7.073802011664931,7.071406216853353,0.0,0.0,2.381520852684935,26.91118563533977,0.0,0.0,10.74208663651106,121.38557899257498
stage1,0.177083333,0,7.0,7.0,7.071105594006835,7.066353557874847,0.0,0.0,2.381520852684935,26.91118563533977,0.0,0.0,10.74208663651106,121.38557899257498
stage1,0.1875,0,7.0,7.0,7.068498126787743,7.0612819202714086,0.0,0.0,2.0225597663577517,22.854925359842596,0.0,0.0,7.727511411521842,87.32087895019683
stage1,0.197916667,0,7.0,7.0,7.067267087717019,7.058921537433292,0.0,0.0,2.0225597663577517,22.854925359842596,0.0,0.0,7.727511411521842,87.32087895019683
stage1,0.208333333,0,7.0,7.0,7.065834656296025,7.056191952771442,0.0,0.0,2.0225597663577517,22.854925359842596,0.0,0.0,7.727511411521842,87.32087895019683
stage1,0.21875,0,7.0,7.0,7.064373622495107,7.053314469878577,0.0,0.0,2.0225597663577517,22.854925359842596,0.0,0.0,7.727511411521842,87.32087895019683
stage1,0.229166667,0,7.0,7.0,7.062914079195657,7.050323708756925,0.0,0.0,1.8808863857091134,21.254016158512982,0.0,0.0,6.394643253961541,72.25946876976542
stage1,0.239583333,0,7.0,7.0,7.061977027521975,7.04843280888294,0.0,0.0,1.8808863857091134,21.254016158512982,0.0,0.0,6.394643253961541,72.25946876976542
stage1,0.25,0,7.0,7.0,7.060935403809934,7.046373828888783,0.0,0.0,1.8808863857091134,21.254016158512982,0.0,0.0,6.394643253961541,72.25946876976542
stage1,0.260416667,0,7.0,7.0,7.059857965476221,7.044122666028188,0.0,0.0,1.8808863857091134,21.254016158512982,0.0,0.0,6.394643253961541,72.25946876976542
stage1,0.270833333,0,7.0,7.0,7.058756185993822,7.041761968919171,0.0,0.0,1.8808863857091134,21.254016158512982,0.0,0.0,6.394643253961541,72.25946876976542
stage1,0.28125,0,7.0,7.0,7.057632060506017,7.039306650956221,0.0,0.0,1.749799213272527,19.772731109979556,0.0,0.0,5.0541492539712,57.111886569874564
stage1,0.291666667,0,7.0,7.0,7.05696920917255,7.03795641042765,0.0,0.0,1.749799213272527,19.772731109979556,0.0,0.0,5.0541492539712,57.111886569874564
stage1,0.302083333,0,7.0,7.0,7.056179869588014,7.036369227894433,0.0,0.0,1.749799213272527,19.772731109979556,0.0,0.0,5.0541492539712,57.111886569874564
stage1,0.3125,0,7.0,7.0,7.055329533108639,7.034666318146884,0.0,0.0,1.749799213272527,19.772731109979556,0.0,0.0,5.0541492539712,57.111886569874564
stage1,0.322916667,0,7.0,7.0,7.054430540847828,7.032866163954849,0.0,0.0,1.6728571224759943,18.903285483978735,0.0,0.0,4.271835047444207,48.27173603611954
stage1,0.333333333,0,7.0,7.0,7.0537744746482,7.031672799851186,0.0,0.0,1.6728571224759943,18.903285483978735,0.0,0.0,4.271835047444207,48.27173603611954
stage1,0.34375,0,7.0,7.0,7.053014898660362,7.030308683753012,0.0,0.0,1.6728571224759943,18.903285483978735,0.0,0.0,4.271835047444207,48.27173603611954
stage1,0.354166667,0,7.0,7.0,7.052191961990084,7.028857566528745,0.0,0.0,1.6728571224759943,18.903285483978735,0.0,0.0,4.271835047444207,48.27173603611954
stage1,0.364583333,0,7.0,7.0,7.051314122441448,7.027328016353844,0.0,0.0,1.6728571224759943,18.903285483978735,0.0,0.0,4.271835047444207,48.27173603611954
stage1,0.375,0,7.0,7.0,7.050384790142572,7.025730486632489,0.0,0.0,1.5742716664263634,17.789269830617908,0.0,0.0,3.403714651564222,38.46197556267571
stage1,0.385416667,0,7.0,7.0,7.049780591626415,7.02483595107678,0.0,0.0,1.5742716664263634,17.789269830617908,0.0,0.0,3.403714651564222,38.46197556267571
stage1,0.395833333,0,7.0,7.0,7.0490514067771946,7.023770407048644,0.0,0.0,1.5742716664263634,17.789269830617908,0.0,0.0,3.403714651564222,38.46197556267571
stage1,0.40625,0,7.0,7.0,7.048249185739739,7.022657054013313,0.0,0.0,1.5742716664263634,17.789269830617908,0.0,0.0,3.403714651564222,38.46197556267571
stage1,0.416666667,0,7.0,7.0,7.047385001341665,7.021468616111054,0.0,0.0,1.501334080402468,16.96507510854789,0.0,0.0,2.8859432680527792,32.61115892899641
stage1,0.427083333,0,7.0,7.0,7.046744170189333,7.02068848805112,0.0,0.0,1.501334080402468,16.96507510854789,0.0,0.0,2.8859432680527792,32.61115892899641
stage1,0.4375,0,7.0,7.0,7.045991914115053,7.0197766592834885,0.0,0.0,1.501334080402468,16.96507510854789,0.0,0.0,2.8859432680527792,32.61115892899641
stage1,0.447916667,0,7.0,7.0,7.045168076150223,7.0188489086604635,0.0,0.0,1.501334080402468,16.96507510854789,0.0,0.0,2.8859432680527792,32.61115892899641
stage1,0.458333333,0,7.0,7.0,7.044281825610575,7.017849954808684,0.0,0.0,1.501334080402468,16.96507510854789,0.0,0.0,2.8859432680527792,32.61115892899641
stage1,0.46875,0,7.0,7.0,7.043337561492658,7.01682651715508,0.0,0.0,1.4006458866514029,15.827298519160854,0.0,0.0,2.321224588584776,26.22983785100797
stage1,0.479166667,0,7.0,7.0,7.042731714864112,7.0162523772957135,0.0,0.0,1.4006458866514029,15.827298519160854,0.0,0.0,2.321224588584776,26.22983785100797
stage1,0.489583333,0,7.0,7.0,7.041994598102343,7.015556726193806,0.0,0.0,1.4006458866514029,15.827298519160854,0.0,0.0,2.321224588584776,26.22983785100797
stage1,0.5,0,7.0,7.0,7.0411804995625005,7.014872912637155,0.0,0.0,1.4006458866514029,15.827298519160854,0.0,0.0,2.321224588584776,26.22983785100797
stage1,0.510416667,0,7.0,7.0,7.04030114298667,7.01410767954465,0.0,0.0,1.3250297685891934,14.972836385057887,0.0,0.0,1.99104713617664,22.498832638796035
