time,pH_sp,stage1_pH,stage2_pH,q_NaOH_m3_d,u_NaOH_kmol_d,q_HCl_m3_d,u_HCl_kmol_d,stage1_T_K,stage2_T_K,stage1_V_liq_m3,stage2_V_liq_m3,stage1_HRT_d,stage2_HRT_d,prbs_segment
0.354166667,7.0,7.166766588198406,7.019450060076578,1.1703685915321063,29.259214788302657,0.0,0.0,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.364583333,7.0,7.1665960536281235,7.022976650563964,1.1703685915321063,29.259214788302657,0.0,0.0,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.375,7.0,7.166399919289661,7.0263994959112885,0.0,0.0,3.2752767709889024,37.0106275121746,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.385416667,7.0,7.1661785065334564,7.024568854013878,0.0,0.0,3.2752767709889024,37.0106275121746,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.395833333,7.0,7.1659321452772495,7.023498180598897,0.0,0.0,3.2752767709889024,37.0106275121746,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.40625,7.0,7.1656611729715305,7.022281538559748,0.0,0.0,3.2752767709889024,37.0106275121746,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.416666667,7.0,7.1653659354746555,7.021138465936943,0.0,0.0,3.2752767709889024,37.0106275121746,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.427083333,7.0,7.165046784962657,7.019966486889913,0.0,0.0,3.2752767709889024,37.0106275121746,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.4375,7.0,7.1647040787972855,7.018796718612377,0.0,0.0,3.2752767709889024,37.0106275121746,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.447916667,7.0,7.164338180429881,7.017595652646059,0.0,0.0,3.2752767709889024,37.0106275121746,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.458333333,7.0,7.163949457324499,7.016375081300732,0.0,0.0,3.2752767709889024,37.0106275121746,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.46875,7.0,7.163538279875338,7.015125467860656,0.0,0.0,3.2752767709889024,37.0106275121746,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.479166667,7.0,7.163105022432946,7.0138521531941525,0.0,0.0,3.2752767709889024,37.0106275121746,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.489583333,7.0,7.1626500613048805,7.012553515011174,0.0,0.0,3.2752767709889024,37.0106275121746,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.5,7.0,7.162173773759602,7.0112326918027925,0.0,0.0,1.4189835685724932,16.034514324869175,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.510416667,7.0,7.161676539190948,7.011499464702256,0.0,0.0,1.4189835685724932,16.034514324869175,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.520833333,7.0,7.161158737204709,7.011417370603297,0.0,0.0,1.4189835685724932,16.034514324869175,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.53125,7.0,7.160620746708512,7.011497476511238,0.0,0.0,1.4189835685724932,16.034514324869175,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.541666667,7.0,7.1600629472047554,7.011315232343694,0.0,0.0,1.4189835685724932,16.034514324869175,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.552083333,7.0,7.159485716955514,7.0112838702977065,0.0,0.0,1.4189835685724932,16.034514324869175,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.5625,7.0,7.15888943214742,7.011042084010984,0.0,0.0,1.4189835685724932,16.034514324869175,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.572916667,7.0,7.15827446829883,7.010950924982447,0.0,0.0,1.4189835685724932,16.034514324869175,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.583333333,7.0,7.157641198492001,7.010665238784608,0.0,0.0,1.4189835685724932,16.034514324869175,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.59375,7.0,7.156989992602639,7.0105317108997225,0.0,0.0,1.4189835685724932,16.034514324869175,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.604166667,7.0,7.156321218807264,7.010213577332303,0.0,0.0,1.4189835685724932,16.034514324869175,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.614583333,7.0,7.155635241874072,7.010047116475905,0.0,0.0,1.4189835685724932,16.034514324869175,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.625,7.0,7.154932422447762,7.009702065392156,0.0,0.0,1.239888103967727,14.010735574835316,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.635416667,7.0,7.154213118646238,7.009666187826283,0.0,0.0,1.239888103967727,14.010735574835316,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.645833333,7.0,7.153477684402553,7.0094377278702575,0.0,0.0,1.239888103967727,14.010735574835316,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.65625,7.0,7.15272646879825,7.00934864355047,0.0,0.0,1.239888103967727,14.010735574835316,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.666666667,7.0,7.151959817739613,7.009093465488523,0.0,0.0,1.239888103967727,14.010735574835316,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.677083333,7.0,7.15117807234497,7.0089846256167965,0.0,0.0,1.239888103967727,14.010735574835316,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.6875,7.0,7.15038156832052,7.0087102944846995,0.0,0.0,1.239888103967727,14.010735574835316,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
0.697916667,7.0,7.149570637707669,7.008585954378888,0.0,0.0,1.239888103967727,14.010735574835316,328.15,308.15,1070.8044,4283.2176,6.0,24.0,
