target,segment,start_d,end_d,duration_d,pH_sp,direction,pH_start,pH_end,pH_min,pH_max,overshoot_pH,MAE_pH,RMSE_pH,final_abs_error_pH,settle_time_to_0p05_d,q_NaOH_max_m3_d,q_HCl_max_m3_d,NaOH_sat_fraction,HCl_sat_fraction
stage1,0,0.0,1.9567581112961003,1.9567581112961003,7.0,initial,7.078236896383718,6.988614896283651,6.988614896283651,7.156277508114389,,0.027534059931788916,0.04287834001935298,0.011385103716349043,,0.28800599114696473,4.412234979387968,0.0,0.0
stage1,1,1.9567581112961003,3.818156621971438,1.8613985106753377,8.4,up,6.988451524267594,8.363235267027264,6.988259658790475,8.363235267027264,0.0,0.08250889596001808,0.19377509093731565,0.036764732972736525,0.41824188870389967,34.25636013166177,0.0,0.0,0.0
stage1,2,3.818156621971438,5.095955173367859,1.2777985513964207,7.0,down,8.363307962655721,6.973363723884373,6.972864016975742,8.363451860356374,0.027135983024257904,0.13394804866629093,0.33776231506093096,0.026636276115627133,0.20267671102856166,1.7629276955684174,38.574325546703975,0.0,0.0
stage1,3,5.095955173367859,5.914398024677552,0.8184428513096931,8.4,up,6.973367553445729,8.353834896399029,6.973367553445729,8.353834896399029,0.0,0.10822973684082098,0.23324230778450614,0.04616510360097159,0.45612815963214093,34.66015883085802,0.0,0.0,0.0
stage1,4,5.914398024677552,7.726811736070119,1.8124137113925674,7.0,down,8.353929701867004,6.9703038508445125,6.964062303212807,8.354212105339393,0.03593769678719294,0.11316611207411655,0.29904361038733374,0.02969614915548746,0.1897686423224485,1.7749307095530602,38.23392177661005,0.0,0.0
stage1,5,7.726811736070119,8.867305897050882,1.1404941609807624,8.4,up,6.97034286477598,8.360375061398287,6.97034286477598,8.360375061398287,0.0,0.08484037560640452,0.19508758571703796,0.039624938601713566,0.3044382639298808,34.84941207357468,0.0,0.0,0.0
stage1,6,8.867305897050882,11.187295028026094,2.3199891309752125,7.0,down,8.360456901709684,6.9694631098298725,6.930768755998721,8.36070124124353,0.069231244001279,0.09964264762350687,0.26737457553673777,0.030536890170127506,0.247277435949119,1.7796496306885006,38.49650594764158,0.0,0.0
stage1,7,11.187295028026094,13.57035001186875,2.3830549838426567,8.4,up,6.969516276315899,8.372126254205304,6.969516276315899,8.372126254205304,0.0,0.06082385300239625,0.1650876468583425,0.027873745794696703,0.2502049719739059,34.993179093972394,0.0,0.0,0.0
stage1,8,13.57035001186875,16.298093720335366,2.7277437084666154,7.0,down,8.372183939817464,6.968693796736043,6.907141574954107,8.372298934615793,0.09285842504589326,0.08845441039720775,0.23458716660676257,0.03130620326395661,0.41923331813124953,2.251816805877177,38.82462399955558,0.0,0.0
stage1,9,16.298093720335366,18.297763543090745,1.9996698227553793,8.4,up,6.968748390411989,8.376734575845079,6.968748390411989,8.376734575845079,0.0,0.06277263934833176,0.17992654591993212,0.023265424154921277,0.24357294966463527,35.199854885101246,0.0,0.0,0.0
stage1,10,18.297763543090745,20.347433097131635,2.0496695540408894,7.0,down,8.376782756404426,6.962391813934227,6.936835863919219,8.376878817809335,0.06316413608078086,0.10880244680255549,0.27052201707332546,0.0376081860657731,0.525153126909256,1.7821603073209389,38.87387864851863,0.0,0.0
stage1,11,20.347433097131635,21.56059095521877,1.2131578580871363,8.4,up,6.9624708249237734,8.365296532732028,6.9624708249237734,8.365296532732028,0.0,0.11125213461418403,0.2960079981792165,0.03470346726797224,0.2567335728683666,35.189650062816135,0.0,0.0,0.0
stage1,12,21.56059095521877,24.390649715286827,2.830058760068056,7.0,down,8.365368557497455,6.967473053518252,6.877672083206592,8.365368557497455,0.12232791679340771,0.07894016330629736,0.19706477244208195,0.03252694648174792,0.6789923747812274,2.9664519802828893,38.6285520803786,0.0,0.0
stage1,13,24.390649715286827,25.78847660363983,1.397826888353002,8.4,up,6.967540074153128,8.371532546280623,6.967540074153128,8.371532546280623,0.0,0.08462264589189317,0.24384452006848065,0.028467453719377644,0.2031002847131731,35.225295032013236,0.0,0.0,0.0
stage1,14,25.78847660363983,28.317539850249815,2.5290632466099865,7.0,down,8.37159160094321,6.964487057150733,6.943419724454175,8.371768109377063,0.056580275545824676,0.1017447604179797,0.2584244771753192,0.03551294284926687,0.7531900663601725,1.7839594090436364,38.72958631368544,0.0,0.0
stage1,15,28.317539850249815,29.855945559690575,1.5384057094407595,8.4,up,6.964562101644,8.370728057518116,6.964562101644,8.370728057518116,0.0,0.0901634975154898,0.2606786660770091,0.02927194248188414,0.224126819750186,35.24735143263391,0.0,0.0,0.0
stage1,16,29.855945559690575,32.195212585345345,2.3392670256547703,7.0,down,8.370788830928982,6.963150147558534,6.861066215079992,8.371030836701454,0.13893378492000785,0.11408127391854221,0.28472019571984336,0.03684985244146599,0.9982211103094265,3.369144282087249,38.78874739608605,0.0,0.0
