kp_naoh,ki_naoh,kp_hcl,ki_hcl,frac_under_1d,max_settle,median_settle,up_overshoot,down_undershoot,mae,naoh_max,hcl_max,naoh_sat,hcl_sat,score
24.0,4.0,28.0,4.666666666666667,0.8333333333333334,1.0167247210733024,0.3659691450525777,0.0,0.13416632172308685,0.09206712813117623,35.287073901467316,38.655331179027996,0.0,0.0,0.7018048133662041
24.0,4.0,24.0,4.0,0.8333333333333334,1.1417247210733024,0.31076093742113553,0.0,0.091672951095366,0.09632783580291586,35.26619697485908,33.12764774189501,0.0,0.0,0.827656954900552
24.0,4.0,20.0,3.3333333333333335,0.8333333333333334,1.1938080610732982,0.38013037704018426,0.0,0.11941978571733625,0.10207474950143625,35.32415363643967,27.603743831201555,0.0,0.0,0.880889677640252
26.0,4.333333333333333,20.0,3.3333333333333335,0.7777777777777778,1.6961377703094236,0.341027435949119,0.0,0.12155093292409269,0.0995198870469712,39.49540596843816,27.653723431864623,0.0,0.0,1.6049306366077067
26.0,4.333333333333333,28.0,4.666666666666667,0.8333333333333334,2.310721110309423,0.247277435949119,0.0,0.13433669985834484,0.08906892629381086,38.59122222565558,38.72533409969445,0.0,0.0,1.9952015622348516
26.0,4.333333333333333,24.0,4.0,0.8333333333333334,2.756308061073298,0.26272845312616466,0.0,0.09698364732873177,0.09276839492716607,39.19337527987372,33.18700368968593,0.0,0.0,2.4415284067253977
32.0,5.333333333333333,24.0,4.0,0.6666666666666666,2.7458913910733003,0.8360276283435386,0.16331148080419133,0.11460607728848515,0.08932039701496132,47.96516206264493,33.31639763680556,0.0,0.0,3.1037445442117213
28.0,4.666666666666667,28.0,4.666666666666667,0.6666666666666666,2.7979747210733024,0.44268361471317164,0.003333458183377047,0.13406131659806952,0.08907763038537435,42.95142985840983,38.78667031449931,0.0,0.0,3.1491235804837108
32.0,5.333333333333333,28.0,4.666666666666667,0.6111111111111112,2.7979747210733024,0.8300429609944118,0.14209570366151425,0.13387377308291448,0.08819620256424486,49.181837879399914,38.68482811659513,0.0,0.0,3.371169517141707
32.0,5.333333333333333,20.0,3.3333333333333335,0.6111111111111112,2.7979747210733024,0.84220729648416,0.14880520228273575,0.11828551013825184,0.09609700543201112,48.7506845435595,27.631219707232987,0.0,0.0,3.37274967771526
28.0,4.666666666666667,20.0,3.3333333333333335,0.6111111111111112,2.7979747210733024,0.4165887140401834,0.01824180731132863,0.1195925776563227,0.09824127479979752,42.81445666050512,27.696855438586645,0.0,0.0,3.373178531588817
28.0,4.666666666666667,24.0,4.0,0.5,2.8248257147812303,0.2835186423224485,0.032893308563064494,0.11678166374440035,0.09231082470188845,42.1254453271993,33.23779173102192,0.0,0.0,3.843287879721608
30.0,5.0,24.0,4.0,0.3333333333333333,2.7458913910733003,1.1668716419739056,0.09771523350914535,0.11570617703948205,0.09152669110722912,45.04839778958175,33.282329624731084,0.0,0.0,4.430863395961413
30.0,5.0,28.0,4.666666666666667,0.3333333333333333,2.7979747210733024,1.1435646613869501,0.07665320111079765,0.1337889416413276,0.08896390755501721,46.06612780887804,38.85101651817186,0.0,0.0,4.482434169250973
30.0,5.0,20.0,3.3333333333333335,0.3333333333333333,2.7979747210733024,1.1435646613869501,0.08396329564290639,0.11889280310556227,0.09747436581357094,45.786663807802135,27.735421215464633,0.0,0.0,4.484136260902684
