kp_naoh,ki_naoh,kp_hcl,ki_hcl,ti,frac_under_1d,max_settle,median_settle,up_overshoot,down_undershoot,mae,naoh_max,hcl_max,hcl_sat
24.0,4.8,28.0,5.6,5.0,1.0,0.9982211103094265,0.2805859183991237,0.0,0.13893378492000785,0.0895453257047872,35.34820749038414,38.87387864851863,0.0
24.0,4.8,30.0,6.0,5.0,0.8888888888888888,1.1098410207999905,0.31752451693949935,0.0,0.14333392049138904,0.08794058928754749,35.38275871487847,41.65150213732325,0.0
24.0,4.8,32.0,6.4,5.0,0.8888888888888888,1.1098410207999905,0.3149607910305652,0.0,0.18070549980955075,0.0864904163448128,35.390173877328955,44.425069686923926,0.0
24.0,4.8,34.0,6.8,5.0,0.8888888888888888,1.1098410207999905,0.2598584454998081,0.0,0.1927857122603509,0.08506371761586096,35.39226172741865,47.2022054320416,0.0
24.0,4.0,32.0,5.333333333333333,6.0,0.8888888888888888,1.1938080610732982,0.3697137140401834,0.0,0.1762040245719021,0.08901133689144666,35.32897535285651,44.17594772573221,0.0
24.0,4.0,28.0,4.666666666666667,6.0,0.8333333333333334,1.0167247210733024,0.3659691450525777,0.0,0.13416632172308685,0.09206712813117623,35.287073901467316,38.655331179027996,0.0
24.0,4.8,36.0,7.2,5.0,0.8333333333333334,1.1098410207999905,0.275377584899124,0.0,0.181893942282354,0.08380470670327822,35.391888641876136,49.97917080046618,0.0
24.0,4.0,30.0,5.0,6.0,0.8333333333333334,1.1938080610732982,0.3749220440401837,0.0,0.1392498745772377,0.09042366632068244,35.31930791118097,41.417323415891325,0.0
24.0,4.0,36.0,6.0,6.0,0.8333333333333334,1.2042247210733024,0.30034426742113496,0.0,0.17693740423846727,0.08628102449593171,35.33001846553026,49.698895226748846,0.0
24.0,4.0,34.0,5.666666666666667,6.0,0.8333333333333334,1.2875580610732982,0.3055526024211348,0.0,0.1879011126010477,0.08758982694676005,35.330571619260525,46.937483600425495,0.0
