segment,start_d,end_d,duration_d,pH_sp,direction,pH_start,pH_end,pH_min,pH_max,overshoot_pH,MAE_pH,RMSE_pH,final_abs_error_pH,settle_time_to_0p05_d,q_NaOH_max_m3_d,q_HCl_max_m3_d,NaOH_sat_fraction,HCl_sat_fraction
52,93.15775625488423,94.55278446615652,1.3950282112722903,7.0,down,8.379346783005502,7.014427768201884,6.955034634409648,8.379932985136717,0.044965365590352135,0.18864606556188016,0.43036897486724196,0.01442776820188385,0.9151604151157642,1.594391392691492,100.0,0.0,0.08955223880597014
53,94.55278446615652,95.55815519811291,1.0053707319563898,8.4,up,7.014148864442195,8.371032182110342,7.01221024264826,8.460025801623573,0.060025801623572406,0.19100663334429913,0.4449121473768421,0.028967817889657965,0.2180488638434781,49.20854117244821,7.447154081211345,0.0,0.0
54,95.55815519811291,96.73879138708686,1.1806361889739492,7.0,down,8.371135085395387,7.011929686120127,6.96248981293828,8.371753527184467,0.037510187061720046,0.17635553039566787,0.4262040356869463,0.011929686120127236,0.3897614718870841,1.3300441040400723,100.0,0.0,0.10619469026548672
55,96.73879138708686,99.4135193386922,2.674727951605334,8.4,up,7.011775805499287,8.384081236409823,7.011619217026262,8.46815851184175,0.06815851184174981,0.05817452378047856,0.19089681075821283,0.015918763590176965,0.16745861291313702,49.229497883290016,8.456145955612646,0.0,0.0
56,99.4135193386922,102.22413036883144,2.810611030139242,7.0,down,8.384137879405042,7.008198676426304,6.968239819500711,8.384589582773238,0.03176018049928864,0.09817588140110622,0.3046816983100501,0.008198676426303564,0.8781473613077964,1.230977118774227,100.0,0.0,0.044444444444444446
57,102.22413036883144,102.79620275529123,0.5720723864597943,8.4,up,7.008163771989459,8.367924142085862,7.008095290573575,8.480925902689288,0.08092590268928745,0.2096951993172821,0.4484062786727249,0.032075857914138695,0.1925363311685544,49.35445000879544,10.040143574718522,0.0,0.0
58,102.79620275529123,105.20152991820213,2.4053271629108934,7.0,down,8.367955174015753,7.008410155734771,6.922462222402281,8.368180351667432,0.07753777759771907,0.09302034446281868,0.30948833298267975,0.00841015573477133,0.3808805447087735,2.749350830069885,100.0,0.0,0.05194805194805195
59,105.20152991820213,106.73221826329308,1.530688345090951,8.4,up,7.008341863631389,8.375945505434093,7.00825704706613,8.498185539675273,0.09818553967527244,0.11385073463290675,0.31675117171491735,0.024054494565907802,0.2255533817978801,49.348714413052896,12.181475677644208,0.0,0.0
60,106.73221826329308,107.2809162715536,0.5486980082605157,7.0,down,8.376034128669813,7.056151096498832,6.906084243070172,8.376122736447805,0.09391575692982812,0.23277940855113155,0.4621132974392736,0.056151096498831876,,3.330084666745209,100.0,0.0,0.23076923076923078
61,107.2809162715536,107.96063984474142,0.6797235731878288,8.4,up,7.051238348357575,8.368086646416543,7.0071230631831405,8.487258798961797,0.08725879896179656,0.32025817465768364,0.6021928383720028,0.03191335358345704,0.2711670284464134,49.3889234521378,10.825839942714774,0.0,0.0
62,107.96063984474142,110.38298580118744,2.422345956446023,7.0,down,8.368113871375602,7.008122980291315,6.918374188474206,8.368196919962598,0.08162581152579396,0.069259961913387,0.251166632989251,0.008122980291314974,0.34144345525858455,2.8943051971117018,100.0,0.0,0.05172413793103448
63,110.38298580118744,111.62803577253128,1.2450499713438319,8.4,up,7.008172290448329,8.372772683336933,7.007970485219651,8.500024798649353,0.10002479864935232,0.21333429870711976,0.4853491161866099,0.027227316663067214,0.30451419881255504,49.35887538329078,12.409664966329103,0.0,0.0
64,111.62803577253128,113.3227731163029,1.6947373437716209,7.0,down,8.37286963509227,7.008785912552955,6.898723214610887,8.373935438021832,0.10127678538911322,0.16593708577001762,0.4296049914275865,0.008785912552954578,0.6532142274687232,3.5910935624309026,100.0,0.0,0.07407407407407407
65,113.3227731163029,115.89127168060428,2.568498564301379,8.4,up,7.008692503960448,8.383178403861761,7.008164143630762,8.497451578294376,0.09745157829437545,0.08150022066443847,0.2603022358275124,0.016821596138239414,0.22931018369710898,49.35200860260873,12.090416110835324,0.0,0.0
66,115.89127168060428,116.39152913393944,0.5002574533351662,7.0,down,8.383237977744349,7.018688231682373,6.921409354674008,8.383831681339336,0.07859064532599191,0.5044079815256644,0.7713225821923089,0.01868823168237288,0.43164501939571664,2.786683635476032,100.0,0.0,0.25
67,116.39152913393944,117.07361516983488,0.6820860358954377,8.4,up,7.025037892931013,8.36831649820024,7.025037892931013,8.48361653013582,0.08361653013581893,0.3294341049516629,0.607866538448856,0.031683501799760094,0.2751375660605504,46.81638954939495,10.373958644696486,0.0,0.0
68,117.07361516983488,118.60858664461932,1.5349714747844416,7.0,down,8.368336693981906,7.01027839384518,6.938034557382473,8.368417938260077,0.061965442617527344,0.12083007414514581,0.33626242149630053,0.010278393845180034,0.5930515301651127,2.197183700312275,100.0,0.0,0.08163265306122448
69,118.60858664461932,120.41175308919476,1.8031664445754387,8.4,up,7.010277418437261,8.378423026477265,7.010255488451132,8.478210217227073,0.07821021722707222,0.07708684691463974,0.23076513708198396,0.0215769735227358,0.18308005538067107,49.27785325800139,9.703219659898528,0.0,0.0
