segment,direction,start_d,end_d,duration_d,pH_sp,IAE_pH_d,ISE_pH2_d,ITAE_pH_d2,ITSE_pH2_d2,mean_abs_error_pH,max_abs_error_pH,final_abs_error_pH,settle_time_0p05_d,settle_time_0p10_d,q_NaOH_max_m3_d,q_HCl_max_m3_d,q_NaOH_mean_m3_d,q_HCl_mean_m3_d,NaOH_volume_m3,HCl_volume_m3,NaOH_sat_fraction,HCl_sat_fraction
18,down,33.02557564920001,34.19542469007696,1.1698490408769544,7.0,0.2344795925513555,0.26006369055996453,0.029753918426240904,0.020348106395207025,0.20043576936694538,1.3704736117764433,0.009727745348753203,0.40150768079999466,0.23484102079999047,3.966834089754191,100.0,0.5783582154969865,13.060267763592446,0.6682204478721367,15.228343195625074,0.0,0.10714285714285714
19,up,34.19542469007696,34.9103586089267,0.7149339188497379,8.4,0.15859619321373464,0.16317134283503593,0.015613526651433934,0.007937361431837823,0.22183335974449378,1.393389137534185,0.03151540537458075,0.24207530992303816,0.15874197992303607,49.40708517292694,12.35936373218428,9.205129699378363,2.2696057226465345,6.609695736112301,1.6226432401988558,0.0,0.0
20,down,34.9103586089267,37.71162370900559,2.8012651000788935,7.0,0.23206128995142727,0.24003028275572003,0.05267925181206809,0.017903738540104696,0.08284160251198347,1.3692371021485936,0.007149017614338504,0.39172472107330236,0.22505806107329818,3.8802252065614513,100.0,0.23196393225878226,6.02257574660643,0.6434910248921202,16.870436386114044,0.0,0.04460966542750929
21,up,37.71162370900559,40.60645208477018,2.8948283757645896,8.4,0.17810048340550635,0.12248941943315149,0.0946751869323118,0.007077570919859443,0.06152367611722957,1.3928985058759693,0.01496927087080202,0.22587629099440676,0.17379296099440467,49.38968825237329,13.546584794218498,3.2286619956631215,0.595773068959078,9.343246591857147,1.7199367750046082,0.0,0.0
22,down,40.60645208477018,43.4740344956752,2.8675824109050154,7.0,0.1581505141966938,0.10947942815553348,0.05690924901971488,0.005882486545641236,0.055151166221158794,1.3851391566501974,0.006404948958278922,0.810214585229815,0.27896458522981504,3.4565430019452887,100.0,0.15531360421411725,7.109643786230279,0.4384883207119662,20.35973499072791,0.0,0.04363636363636364
23,up,43.4740344956752,44.030735423180246,0.5567009275050481,8.4,0.11100747173962733,0.10290182942421537,0.008896844161474364,0.003841340977579817,0.1994023473916715,1.3937124540782202,0.032119663117830655,0.2030488343248038,0.13013217432479962,49.41854939896306,12.099828940903231,11.689623707806724,2.786186348962365,6.447314917104832,1.5317749333456363,0.0,0.0
24,down,44.030735423180246,45.71794886172648,1.6872134385462303,7.0,0.23610936090701531,0.25894984734086307,0.03367277084904359,0.018893170213067252,0.13994042218538544,1.3681408998702995,0.008446962147352188,0.39634790681975574,0.22968124681975155,3.819027859675165,100.0,0.3882301368271243,9.18754781200556,0.6488068509823062,15.497786841689656,0.0,0.07407407407407407
25,up,45.71794886172648,46.90911385020053,1.1911649884740498,8.4,0.14393839843324258,0.12254005557708851,0.02599631881076353,0.005004981113593161,0.12083833879103167,1.3918931511631136,0.026943535167180954,0.21955113827352335,0.16746780827352126,49.35404017346336,12.726449557861766,6.043152835717425,1.3590317044148164,7.232645499979566,1.621806638177189,0.0,0.0
26,down,46.90911385020053,47.4860031549956,0.576889304795074,7.0,0.21469786013364567,0.24223812222750066,0.02216853568168558,0.018190412897451106,0.37216474347693423,1.3739280422424098,0.052472023141485025,,0.3513028197994714,3.775943750359162,100.0,1.0451744619826353,24.7092516247514,0.5912481853623341,14.156342076680488,0.0,0.21818181818181817
27,up,47.4860031549956,48.18678663399923,0.7007834790036327,8.4,0.09718907403992454,0.07537993541930825,0.010401508909922065,0.0024908494358546513,0.138686308898302,1.343115727021953,0.03138511806402988,0.19108017500440155,0.11816351500439737,47.48249443294752,11.383588058034748,9.176419022985081,2.0388515924838355,6.396875783072655,1.4229485072543435,0.0,0.0
