case,target_stage,chemical,high_q_m3_d,high_u_kmol_d,gain_pH_per_kmol_d,gain_pH_per_m3_d,tau_d,tau_h,theta_d,theta_h,theta_min,MAE_pH,RMSE_pH,R2,pH_min,pH_max,pH_delta,y0
stage1_NaOH,stage1,NaOH,0.15,3.75,0.059107335837962086,1.477683395949052,6.0,144.0,0.0,0.0,0.0,0.00034638124153278785,0.0004792036572706983,0.9998190964582042,4.904086278311206,5.075815511727546,0.1717292334163405,4.902495396556432
stage1_HCl,stage1,HCl,0.35,3.955,-0.05610147024125875,-0.633946613726224,6.0,144.0,0.0,0.0,0.0,0.00019185945347263984,0.00020602442729130807,0.9999605038036129,4.72121653226112,4.904091573848876,0.18287504158775647,4.903617990102899
stage2_NaOH,stage2,NaOH,0.6,15.0,0.02256177054863644,0.564044263715911,3.0,72.0,0.0,0.0,0.0,0.02742693938584237,0.03433652839477241,0.9169055817354288,7.359707061103409,7.7804589922256575,0.42075193112224873,7.429491695927731
stage2_HCl,stage2,HCl,1.35,15.255000000000003,-0.04600752829431386,-0.5198850697257467,16.0,384.0,0.0,0.0,0.0,0.04458686805747692,0.05027888245734561,0.8118792579802558,6.795615231489524,7.359741071503086,0.5641258400135616,7.379015879014508
