group,label,initial_kgCOD_m3,final_kgCOD_m3,final_relative_to_day60,min_relative_to_day60,max_relative_to_day60,final_change_pct,max_abs_change_pct
X_su,sugar degraders,0.3221082955759397,0.3221247235920262,1.0000510015305788,1.0,1.0000510015305788,0.005100153057879808,0.005100153057879808
X_aa,amino-acid degraders,0.937946779693228,0.9379919274719016,1.0000481346912757,1.0,1.0000481346912757,0.004813469127573633,0.004813469127573633
X_fa,LCFA degraders,0.3475969183844771,0.3477806214875891,1.000528494625228,0.9997772501471024,1.000528494625228,0.0528494625227971,0.0528494625227971
X_c4,C4 degraders,0.3385363224882967,0.3385671631695199,1.000091100065708,0.9999481081166662,1.000091100065708,0.009110006570800522,0.009110006570800522
X_pro,propionate degraders,0.102512448017174,0.1025404930708974,1.000273577055917,0.9997847551002049,1.000273577055917,0.02735770559170181,0.02735770559170181
X_ac,acetoclastic methanogens,0.6815610333557015,0.6875684909652009,1.0088142621357348,0.9972218947985663,1.0088142621357348,0.8814262135734774,0.8814262135734774
X_h2,hydrogenotrophic methanogens,0.2900679304518431,0.2901680997544614,1.000345330497109,0.9997882524307137,1.000345330497109,0.03453304971090532,0.03453304971090532
X_acidogenesis,acidogenesis total,1.9461883161419415,1.946464435721037,1.0001418771127157,0.9999566876344959,1.0001418771127157,0.01418771127157381,0.01418771127157381
X_acetogenesis,acetogenesis total,0.102512448017174,0.1025404930708974,1.000273577055917,0.9997847551002049,1.000273577055917,0.02735770559170181,0.02735770559170181
X_methanogenesis,methanogenesis total,0.9716289638075446,0.9777365907196622,1.0062859662892134,0.9979949627669045,1.0062859662892134,0.6285966289213407,0.6285966289213407
X_active_total,active biomass total,3.0203297279666605,3.026741519511597,1.0021228780042015,0.9993213120333649,1.0021228780042015,0.21228780042015227,0.21228780042015227
