component,label,initial_kgCOD_or_kmol_m3,final_kgCOD_or_kmol_m3,mean_kgCOD_or_kmol_m3,final_relative_to_day60,min_relative_to_day60,max_relative_to_day60,final_change_pct,max_abs_change_pct
S_su,sugars,0.012654987887357,0.0126556334147198,0.012655159983789173,1.0000510097179505,0.9999912343270427,1.0000510097179505,0.00510097179504676,0.00510097179504676
S_aa,amino acids,0.0056590847187463,0.0056589563432008,0.005658991722337242,0.9999773151398361,0.9999773151398361,1.0,-0.0022684860163879605,0.0022684860163879605
S_fa,LCFA,0.115091980054918,0.1122028441030249,0.1144655705777987,0.9748971566001863,0.9748971566001863,1.0115795872042073,-2.5102843399813723,2.5102843399813723
S_va,valerate,0.0127914503227973,0.012672109667373,0.012793221793700177,0.990670279568564,0.990670279568564,1.0111170974022672,-0.9329720431435984,1.1117097402267184
S_bu,butyrate,0.014546760786365,0.0144110611637147,0.014549854293495921,0.9906714886810063,0.9906714886810063,1.0113228270484855,-0.9328511318993704,1.1322827048485529
S_pro,propionate,0.0189350291202155,0.0183897432619641,0.018894577341934442,0.9712022698888148,0.9712022698888148,1.0258864314651195,-2.879773011118525,2.879773011118525
S_ac,acetate,0.2542999397928473,0.1332681513444545,0.21773800533709461,0.5240589181932749,0.5240589181932749,1.1472573901941527,-47.594108180672514,47.594108180672514
S_h2,hydrogen,3.89120804518653e-07,3.0543706413975816e-07,4.0435220476047835e-07,0.7849414901307767,0.7849414901307767,1.4059765393200465,-21.505850986922326,40.597653932004654
S_ch4,dissolved methane,0.0569618264658437,0.0563735595059392,0.055986209189617865,0.9896726106516749,0.9583663567561137,1.0,-1.0327389348325111,4.163364324388629
S_IC,inorganic carbon,0.0923080384840107,0.0941769733952671,0.0929373890784059,1.0202467189418192,0.9965142574024121,1.0202467189418192,2.0246718941819175,2.0246718941819175
S_IN,inorganic nitrogen,0.0942525591849975,0.0942155328686316,0.09424116257724029,0.9996071585038532,0.9996071585038532,1.0001250847953864,-0.039284149614682295,0.039284149614682295
S_I,soluble inert,0.1296095081366221,0.1295912851294517,0.12958921259264347,0.9998594006918753,0.9997838939901148,1.0,-0.014059930812471144,0.021610600988519746
S_organic_soluble,organic soluble total,0.5635887408198685,0.43884978442790357,0.5263445936427936,0.7786702477226503,0.7786702477226503,1.0699639704526318,-22.132975227734974,22.132975227734974
S_vfa_total,VFA total,0.3005731800222251,0.17874106543750629,0.2639756587662252,0.5946673799182274,0.5946673799182274,1.1268009632388978,-40.53326200817726,40.53326200817726
